file,titolo,timestamp,url_cattura
80f808b69eb5cc24.bin,Adolf Hitler,20251028031442,https://web.archive.org/web/20251028031442/https://grokipedia.com/page/Adolf_Hitler
c47c106e7bddae37.bin,Albert Einstein,20251028075408,https://web.archive.org/web/20251028075408/https://grokipedia.com/page/Albert_Einstein
a0cf4a456a6472ac.bin,Alexander the Great,20251030035659,https://web.archive.org/web/20251030035659/https://grokipedia.com/page/Alexander_the_Great
a4629608af4121af.bin,American Civil War,20251029040655,https://web.archive.org/web/20251029040655/https://grokipedia.com/page/American_Civil_War
1fdab9994f66b11b.bin,Ancient Rome,20251028040649,https://web.archive.org/web/20251028040649/https://grokipedia.com/page/Ancient_Rome
ef404d57d8a53ed4.bin,Artificial intelligence,20251028073759,https://web.archive.org/web/20251028073759/https://grokipedia.com/page/Artificial_intelligence
92eeb40f77d7a644.bin,Beijing,20251028073351,https://web.archive.org/web/20251028073351/https://grokipedia.com/page/Beijing
07d756bb016c4608.bin,Brazil,20251029235009,https://web.archive.org/web/20251029235009/https://grokipedia.com/page/Brazil
999faa5be8195240.bin,Buddhism,20251029224243,https://web.archive.org/web/20251029224243/https://grokipedia.com/page/Buddhism
d6669f6f82184a46.bin,Christianity,20251028082717,https://web.archive.org/web/20251028082717/https://grokipedia.com/page/Christianity
ad487736ecf56a3f.bin,Cold War,20251030141749,https://web.archive.org/web/20251030141749/https://grokipedia.com/page/Cold_War
e35f76de08b4ccad.bin,France,20251028170931,https://web.archive.org/web/20251028170931/https://grokipedia.com/page/France
5a41b8d10999bd16.bin,Hinduism,20251028155352,https://web.archive.org/web/20251028155352/https://grokipedia.com/page/Hinduism
4ef028d16af26dd7.bin,Industrial Revolution,20251028085708,https://web.archive.org/web/20251028085708/https://grokipedia.com/page/Industrial_Revolution
d9fd86a3030cf933.bin,Isaac Newton,20251028091609,https://web.archive.org/web/20251028091609/https://grokipedia.com/page/Isaac_Newton
917874a10b9e41a1.bin,Italy,20251028085249,https://web.archive.org/web/20251028085249/https://grokipedia.com/page/Italy
e7ab78397b416ae9.bin,Joseph Stalin,20251028173957,https://web.archive.org/web/20251028173957/https://grokipedia.com/page/Joseph_Stalin
f77142eae688b175.bin,Judaism,20251029044603,https://web.archive.org/web/20251029044603/https://grokipedia.com/page/Judaism
2cc0fc2df2c1851f.bin,Middle Ages,20251028065748,https://web.archive.org/web/20251028065748/https://grokipedia.com/page/Middle_Ages
3185f036d95dab1b.bin,Moon,20251028190457,https://web.archive.org/web/20251028190457/https://grokipedia.com/page/Moon
6e05dd32b4ac6312.bin,Moscow,20251028125214,https://web.archive.org/web/20251028125214/https://grokipedia.com/page/Moscow
40cd1914febb4e86.bin,Napoleon,20251028185007,https://web.archive.org/web/20251028185007/https://grokipedia.com/page/Napoleon
48a2886b71aad911.bin,Nelson Mandela,20251028183138,https://web.archive.org/web/20251028183138/https://grokipedia.com/page/Nelson_Mandela
40d3d60dd4696ba5.bin,New York City,20251028073013,https://web.archive.org/web/20251028073013/https://grokipedia.com/page/New_York_City
491ceba77a79fcd3.bin,Olympic Games,20251028204622,https://web.archive.org/web/20251028204622/https://grokipedia.com/page/Olympic_Games
8f994bf16fd9087e.bin,Ottoman Empire,20251028033427,https://web.archive.org/web/20251028033427/https://grokipedia.com/page/Ottoman_Empire
2a97426a5f56f568.bin,Paris,20251028102739,https://web.archive.org/web/20251028102739/https://grokipedia.com/page/Paris
3a7f950f1477cbc3.bin,Protestantism,20251029143934,https://web.archive.org/web/20251029143934/https://grokipedia.com/page/Protestantism
3a21b4f5651f2e45.bin,Roman Empire,20251028035229,https://web.archive.org/web/20251028035229/https://grokipedia.com/page/Roman_Empire
c4b3842d50df4be3.bin,Rome,20251028150905,https://web.archive.org/web/20251028150905/https://grokipedia.com/page/Rome
9f38d5ce18574650.bin,Russia,20251028143244,https://web.archive.org/web/20251028143244/https://grokipedia.com/page/Russia
24b925d81a5a1168.bin,Sigmund Freud,20251029101312,https://web.archive.org/web/20251029101312/https://grokipedia.com/page/Sigmund_Freud
ba23e61f33191e57.bin,Slavery,20251029123128,https://web.archive.org/web/20251029123128/https://grokipedia.com/page/Slavery
0f7348abfbe663c7.bin,Socialism,20251028121900,https://web.archive.org/web/20251028121900/https://grokipedia.com/page/Socialism
b0f559591c5614a0.bin,United Kingdom,20251028203600,https://web.archive.org/web/20251028203600/https://grokipedia.com/page/United_Kingdom
6b0126351e3e305a.bin,United States,20251028235425,https://web.archive.org/web/20251028235425/https://grokipedia.com/page/United_States
6d43a7d70eee4413.bin,Wikipedia,20251028003845,https://web.archive.org/web/20251028003845/https://grokipedia.com/page/Wikipedia
772c73a3d3ce957e.bin,Winston Churchill,20251028130702,https://web.archive.org/web/20251028130702/https://grokipedia.com/page/Winston_Churchill
d502e2f33d34092a.bin,World War I,20251028110235,https://web.archive.org/web/20251028110235/https://grokipedia.com/page/World_War_I
3801916676691709.bin,World War II,20251028134802,https://web.archive.org/web/20251028134802/https://grokipedia.com/page/World_War_II
e04aa13b083b9e6d.bin,Istanbul,,cattura aggiuntiva del 15 agosto 2026 (non fa parte dei 40 titoli analizzati)
