titolo,wiki_tot,grok_tot,rapporto,wiki_camel,wiki_frasi1k,wiki_lentok,wiki_voc_altro,grok_camel,grok_frasi1k,grok_lentok,grok_voc_altro
Industrial Revolution,109584,85642,0.7815191998831946,0.0002456801244779297,7.7625,5.260912292195561,0.7717631643600033,0.0003839877123932034,4.0875,6.238648363252376,0.764519535374868
Protestantism,109219,138566,1.2686986696453915,8.430992327796982e-05,6.4,5.548604670769749,0.8554084815782818,0.0,3.9875,6.274417713025975,0.7849132560145692
Slavery,103574,76738,0.7409002259254253,7.988496564946476e-05,6.925,5.11199872184055,0.7918996644831443,0.0,4.183064453074096,6.026696222050886,0.769082498072475
Sigmund Freud,101984,102279,1.002892610605585,0.0,6.425,5.310426734376279,0.7996559914816939,9.59600806064677e-05,4.1,6.391517128874388,0.7530947125995586
Christianity,98977,219965,2.2223849985350133,0.0,6.1375,5.4093620546810275,0.9068765534382767,0.00025908973141031176,4.75,5.558079281457812,0.7001468175144658
Judaism,98286,230907,2.349337647274281,0.00039469529523208084,6.6375,5.080596779286391,0.875749921060941,0.0004363763309478094,4.5875,5.671932274393437,0.7343340897189736
Roman Empire,98077,114331,1.1657269288416245,0.0,7.55,5.328621619413351,0.7902606422093308,0.0,4.225,5.994578202536299,0.7422348832935122
Cold War,97947,152151,1.5534013292903306,0.00016456841932033242,6.4125,5.328889986011684,0.8579774541265531,0.0005518256231030994,5.3875,5.970201416352433,0.786719396670652
Moscow,96849,89793,0.9271443174426168,0.0004895960832313342,7.475,5.148184414524684,0.7946960424316606,0.0003773940937824323,4.575,6.04575903387112,0.7293140862345504
Nelson Mandela,95994,99657,1.038158634914682,0.00024547909336388184,6.025,5.295884133867932,0.8104901399230832,9.259259259259259e-05,4.25,6.055,0.7825925925925926
Ancient Rome,95251,184760,1.9397171683236922,0.0,7.7,5.1431070122436,0.8576880267133089,9.310986964618249e-05,4.35,6.074208566108007,0.7167597765363128
Ottoman Empire,94338,91627,0.9712629057219784,0.0002449779519843214,6.625,5.230034296913278,0.7947084762371387,0.0,4.05,6.281113016962074,0.6938250428816467
American Civil War,93970,141457,1.5053421304671704,0.0020221629054436624,8.15,5.197605759119955,0.8722801908921782,0.0010330578512396695,4.9625,6.029113448534936,0.7942336589030804
United Kingdom,93835,78535,0.8369478339638727,0.0004088641753209584,7.0875,5.171804726469866,0.8142938915692207,0.0006694080520225686,5.8445279174890175,5.877211437314718,0.7162666156641484
Joseph Stalin,93581,95617,1.021756553146472,0.0,7.1625,5.34114238410596,0.8173841059602649,0.0,4.0875,6.077872300645041,0.7629241843507526
Italy,92909,108597,1.1688533941814032,8.385744234800838e-05,7.375,5.322180293501048,0.8037735849056604,0.0006704980842911877,4.0875,6.194540229885058,0.6967432950191571
New York City,92628,88302,0.9532970592045602,0.0008948909860071591,6.8,5.111617312072893,0.8239505369345916,0.000924898261191269,5.4625,5.888457269700333,0.7308546059933407
Middle Ages,92205,94427,1.024098476221463,7.984031936127745e-05,8.1875,5.114331337325349,0.8126946107784431,0.0,4.4375,6.195435092724679,0.6746552543984784
Russia,92132,140853,1.52881734902097,8.357709987463435e-05,7.0125,5.356122022565817,0.8546594233180108,9.347541596560104e-05,5.3,5.8956814357823895,0.731725556178725
Winston Churchill,91453,151043,1.6515915278886422,0.0005583027596107832,8.0,5.113096187589727,0.8633753389695327,0.0002734232592052497,4.0375,5.928271965001823,0.7406124681006198
