titolo,dateModified,headline,fact_checked
Ancient Rome,2026-01-14 01:30:11+00:00,Ancient Rome,7 months ago
Protestantism,2026-01-16 01:18:00+00:00,Protestantism,6 months ago
Socialism,2026-01-17 02:46:22+00:00,Socialism,6 months ago
Cold War,2026-01-18 01:05:45+00:00,Cold War,6 months ago
Ottoman Empire,2026-01-31 21:00:15+00:00,Ottoman Empire,6 months ago
Middle Ages,2026-02-11 03:24:41+00:00,Middle Ages,6 months ago
Nelson Mandela,2026-02-23 06:08:49+00:00,Nelson Mandela,5 months ago
Paris,2026-02-28 14:33:35+00:00,Paris,5 months ago
Beijing,2026-03-02 07:40:28+00:00,Beijing,5 months ago
Moscow,2026-03-06 00:11:10+00:00,Moscow,5 months ago
Istanbul,2026-03-06 15:33:29+00:00,Istanbul,5 months ago
Industrial Revolution,2026-03-08 05:24:38+00:00,Industrial Revolution,5 months ago
Slavery,2026-03-14 02:34:27+00:00,Slavery,5 months ago
World War I,2026-03-14 06:56:23+00:00,World War I,5 months ago
World War II,2026-03-23 14:32:46+00:00,World War II,4 months ago
American Civil War,2026-03-26 22:42:07+00:00,American Civil War,4 months ago
Sigmund Freud,2026-03-27 07:07:07+00:00,Sigmund Freud,4 months ago
Olympic Games,2026-03-27 17:25:28+00:00,Olympic Games,4 months ago
Joseph Stalin,2026-03-27 20:52:44+00:00,Joseph Stalin,4 months ago
Alexander the Great,2026-03-28 00:18:06+00:00,Alexander the Great,4 months ago
Napoleon,2026-03-28 00:22:37+00:00,Napoleon Bonaparte,4 months ago
Moon,2026-03-28 01:00:18+00:00,Moon,4 months ago
Judaism,2026-04-03 03:41:28+00:00,Judaism,4 months ago
United Kingdom,2026-04-03 12:06:03+00:00,United Kingdom,4 months ago
Roman Empire,2026-04-05 18:57:07+00:00,Roman Empire,4 months ago
France,2026-04-06 01:08:49+00:00,France,4 months ago
Winston Churchill,2026-04-07 12:02:00+00:00,Winston Churchill,4 months ago
Isaac Newton,2026-04-08 01:26:14+00:00,Isaac Newton,4 months ago
Artificial intelligence,2026-04-14 19:05:22+00:00,Artificial intelligence,4 months ago
Adolf Hitler,2026-04-15 17:38:26+00:00,Adolf Hitler,3 months ago
Wikipedia,2026-04-18 22:41:39+00:00,Wikipedia,3 months ago
Brazil,2026-04-20 06:49:04+00:00,Brazil,3 months ago
United States,2026-04-21 01:55:19+00:00,United States,3 months ago
Christianity,2026-04-21 18:49:24+00:00,Christianity,3 months ago
Buddhism,2026-04-22 23:51:14+00:00,Buddhism,3 months ago
Albert Einstein,2026-04-23 03:07:32+00:00,Albert Einstein,3 months ago
New York City,2026-04-23 03:54:08+00:00,New York City,3 months ago
Russia,2026-04-23 09:57:20+00:00,Russia,3 months ago
Italy,2026-04-24 18:06:57+00:00,Italy,3 months ago
Hinduism,2026-04-25 02:04:42+00:00,Hinduism,3 months ago
