titolo,v01_in_wiki,attuale_in_wiki,sim_v01_attuale
Buddhism,0.8422030981067126,0.0004046580639359,0.0002448513208368
Albert Einstein,0.006313504981750024,0.0054095826893353,0.0460490463215258
Isaac Newton,0.005375885314446625,0.0060500580142549,0.8560280920795942
Winston Churchill,0.0016911480479319676,0.0016806722689075,0.918538027908696
World War I,0.0015582391897156214,0.001610824742268,0.7867959241437872
Adolf Hitler,0.0010798075979189163,0.0090117846414542,0.0017417940478693
Nelson Mandela,0.0010243652593839175,0.0010320678215997,0.9224849982350865
New York City,0.0009540034071550255,0.0009140767824497,0.1955684870188003
Cold War,0.0009065318001813063,0.0009155744024672,0.9438437878646658
American Civil War,0.0008661758336942399,0.0008486712989975,0.8846250946730624
Sigmund Freud,0.0008147544626323976,0.0008167508167508,0.926219555746018
United Kingdom,0.000687757909215956,0.0462997746055597,0.0326759870444016
Joseph Stalin,0.0006652253450856477,0.0006988662835844,0.8470666765556627
Ancient Rome,0.0006265173466990367,0.0006346436079489,0.9379463092374078
Socialism,0.0006155740227762388,0.0006302686520129,0.9245579862151632
Alexander the Great,0.0005797101449275362,0.0006919936336585,0.8600869107189887
Napoleon,0.0005043095543737392,0.0271919274881933,0.4279912128333503
United States,0.0004814057046576002,0.0005766735547119,0.1464093244767514
Paris,0.0003717932829346883,0.0003750468808601,0.9237354085603112
Brazil,0.00034910106475824753,0.0003017761683048,0.9085302760647324
Slavery,0.000281716593107334,0.0002867520550563,0.9232030609456136
France,0.00027865132757453926,0.000281474928626,0.8916975705744342
Protestantism,0.0002743785326236075,0.0003874467260751,0.9378437550061408
Moscow,0.0002474839135456195,0.0002492729538845,0.917526591522464
Italy,0.00020688228398041514,0.0002089573030577,0.9363886465812252
Roman Empire,0.00019326161180184241,0.0001921598770176,0.9208464433339504
Russia,0.000171939477303989,0.0001063320750704,0.0513781642801809
Ottoman Empire,0.00016187778227438285,0.0002455192732629,0.9175965665236052
Christianity,0.00016144656118824668,0.000137452321226,0.4727429965716404
Beijing,0.00014655235582911996,0.0001492203238081,0.926775411354085
Rome,0.00012890750886239123,0.0001315183796935,0.923129890453834
Industrial Revolution,9.002520705797624e-05,8.827683615819209e-05,0.8833207420465038
Moon,7.824113919098662e-05,0.0,0.014830710538865
Wikipedia,7.661074082586379e-05,0.0,0.012024301746688
Olympic Games,7.588404917286387e-05,7.497938067031566e-05,0.9042660155127836
Judaism,4.7607712449416804e-05,6.40717603716162e-05,0.5420960930809438
World War II,3.692762186115214e-05,4.123881397171017e-05,0.1615261026000769
Artificial intelligence,0.0,0.0,0.151762619170793
Middle Ages,0.0,0.0,0.9390008493552622
Hinduism,0.0,0.0,0.8394203206285168
