titolo,catture,catture_2025,prima,ultima,v01_char,ult_char,v01_via,sim_v01_attuale,delta_char,nota
Industrial Revolution,105,25,20251028085708,20260305023759,84156,85642,article,0.8833207420465038,1486,
Protestantism,94,25,20251029143934,20260424204754,140108,138566,article,0.9378437550061408,-1542,
Slavery,96,27,20251029123128,20260702171311,78704,76738,article,0.9232030609456136,-1966,
Sigmund Freud,87,24,20251029101312,20260305024703,102804,102279,article,0.9262195557460181,-525,
Christianity,91,25,20251028082717,20260729210340,139519,219965,article,0.4727429965716404,80446,
Judaism,91,24,20251029044603,20260418225315,157274,230907,article,0.5420960930809438,73633,
Roman Empire,99,34,20251028035229,20260716123444,113927,114331,article,0.9208464433339503,404,
Cold War,100,26,20251030141749,20260807062424,153703,152151,article,0.9438437878646658,-1552,
Moscow,97,25,20251028125214,20260809210435,91139,89793,article,0.9175265915224639,-1346,
Nelson Mandela,90,28,20251028183138,20260413160902,100905,99657,article,0.9224849982350865,-1248,
Ancient Rome,92,28,20251028040649,20260716164305,187575,184760,article,0.9379463092374078,-2815,
Ottoman Empire,95,25,20251028033427,20260722164212,93222,91627,article,0.9175965665236051,-1595,
American Civil War,102,26,20251029040655,20260508190153,138817,141457,article,0.8846250946730624,2640,
United Kingdom,134,26,20251028203600,20260730071148,109648,78535,article,0.032675987044401625,-31113,
Joseph Stalin,96,31,20251028173957,20260306100035,90142,95617,article,0.8470666765556627,5475,
Italy,178,32,20251028085249,20260720095249,109814,108597,article,0.9363886465812252,-1217,
New York City,109,25,20251028073013,20260729203823,108404,88302,article,0.19556848701880036,-20102,
Middle Ages,93,24,20251028065748,20260429023459,95410,94427,article,0.9390008493552622,-983,
Russia,111,26,20251028143244,20260722015817,175365,140853,article,0.051378164280180924,-34512,
Winston Churchill,89,27,20251028130702,20260306064559,151071,151043,article,0.9185380279086961,-28,
Buddhism,85,24,20251029224243,20260305023755,93450,155687,article,0.0002448513208368474,62237,
France,143,29,20251028170931,20260730025805,188964,185629,article,0.8916975705744342,-3335,
United States,159,30,20251028235425,20260801162404,187915,155339,article,0.14640932447675148,-32576,
Socialism,96,25,20251028121900,20260813161305,100218,97706,article,0.9245579862151633,-2512,
Wikipedia,132,45,20251028003845,20260812160416,99395,81820,article,0.012024301746688042,-17575,
Moon,90,25,20251028190457,20260729203810,93474,61539,article,0.014830710538865045,-31935,
Alexander the Great,85,24,20251030035659,20260305023654,100058,104099,article,0.8600869107189887,4041,
Paris,164,34,20251028102739,20260719080019,120001,118432,article,0.9237354085603113,-1569,
Beijing,100,25,20251028073351,20260728024638,102736,100409,article,0.926775411354085,-2327,
Isaac Newton,92,28,20251028091609,20260508184839,86830,88828,article,0.8560280920795942,1998,
Albert Einstein,93,28,20251028075408,20260608073015,74725,63582,article,0.046049046321525886,-11143,
Napoleon,92,24,20251028185007,20260808100010,163257,245378,article,0.42799121283335034,82121,
Brazil,175,46,20251029235009,20260812035317,172551,173572,article,0.9085302760647325,1021,
Artificial intelligence,127,27,20251028073759,20260808100159,134421,103136,article,0.151762619170793,-31285,
Olympic Games,90,24,20251028204622,20260411142656,98070,98883,article,0.9042660155127836,813,
World War II,160,26,20251028134802,20260705080229,203031,177124,article,0.16152610260007694,-25907,
World War I,107,25,20251028110235,20260720030153,192113,185144,article,0.7867959241437872,-6969,
Hinduism,91,27,20251028155352,20260708152439,127933,128041,article,0.8394203206285168,108,
Adolf Hitler,127,45,20251028031442,20260802080631,149978,94051,article,0.0017417940478693054,-55927,
Rome,92,26,20251028150905,20260305023628,113632,111589,article,0.9231298904538341,-2043,
