titolo,n_wiki,n_grok,grok_in_wiki,wiki_in_grok,jaccard
United Kingdom,14474,10648,0.04629977460555973,0.03406107503109023,0.020017053067522026
Napoleon,13375,34091,0.027191927488193365,0.06930841121495328,0.019918777799265132
Adolf Hitler,12948,12983,0.00901178464145421,0.009036144578313253,0.004532424265902224
Isaac Newton,13428,12066,0.006050058014254931,0.0054364015490020855,0.002871641556193698
Albert Einstein,13434,9058,0.005409582689335394,0.0036474616644335267,0.0021833088268056857
Winston Churchill,14389,20825,0.0016806722689075631,0.002432413649315449,0.000994911737115893
World War I,12772,24832,0.0016108247422680412,0.0031318509238960224,0.0010648493238206793
Nelson Mandela,14813,13565,0.0010320678215997052,0.0009451157766826436,0.0004935834155972359
Cold War,15115,20752,0.0009155744024672321,0.001257029440952696,0.0005300156215130551
New York City,14340,12034,0.0009140767824497258,0.0007670850767085076,0.0004172514508970906
American Civil War,14579,18853,0.000848671298997507,0.0010974689622059127,0.00047881254488867607
Sigmund Freud,15426,13468,0.0008167508167508167,0.0007130818099312849,0.00038084686493785274
Joseph Stalin,14220,12878,0.0006988662835844075,0.0006329113924050633,0.0003322381778581712
Alexander the Great,13829,14451,0.0006919936336585703,0.0007231180851833104,0.00035373187124159886
Ancient Rome,15004,25211,0.0006346436079489112,0.0010663822980538523,0.0003980198512400806
Socialism,13345,12693,0.0006302686520129206,0.0005994754589733983,0.0003073376872839032
United States,13712,20809,0.0005766735547119035,0.0008751458576429405,0.00034773537338085716
Buddhism,14259,22241,0.0004046580639359741,0.0006311803071744162,0.00024663615686059575
Istanbul,13591,10075,0.0003970223325062035,0.0002943124126260025,0.0001690474178006931
Protestantism,16226,18067,0.0003874467260751647,0.0004314063848144953,0.0002041649652919559
Paris,13570,15998,0.00037504688086010754,0.0004421518054532056,0.00020296326364927948
Brazil,12863,23196,0.00030177616830488014,0.0005441965326906631,0.00019416398535448796
Slavery,16197,10462,0.0002867520550563946,0.00018521948508983145,0.00011254501800720288
France,13841,24869,0.00028147492862600024,0.0005057438046383931,0.00018086453246518358
Moscow,14958,12035,0.00024927295388450354,0.00020056157240272763,0.00011115227862171174
Ottoman Empire,14620,12219,0.00024551927326295114,0.0002051983584131327,0.00011179013265762409
Italy,13975,14357,0.00020895730305774186,0.0002146690518783542,0.00010589854918987609
Roman Empire,15063,15612,0.0001921598770176787,0.00019916351324437363,9.780907668231612e-05
Beijing,13008,13403,0.00014922032380810266,0.00015375153751537516,7.573175811276459e-05
Christianity,14812,29101,0.0001374523212260747,0.00027005130974885227,9.109749709626728e-05
Russia,13942,18809,0.000106332075070445,0.00014345144168698896,6.107056704021496e-05
Industrial Revolution,16696,11328,8.827683615819209e-05,5.989458552946814e-05,3.5684973057845344e-05
Olympic Games,13202,13337,7.497938067031566e-05,7.57460990758976e-05,3.768181475619866e-05
Judaism,15296,31215,6.40717603716162e-05,0.0001307531380753138,4.300242963727451e-05
World War II,12967,24249,4.123881397171017e-05,7.71188401326444e-05,2.687088539567379e-05
Middle Ages,14519,12497,0.0,0.0,0.0
Moon,14056,8500,0.0,0.0,0.0
Artificial intelligence,12878,13617,0.0,0.0,0.0
Wikipedia,13414,10934,0.0,0.0,0.0
Hinduism,12961,17386,0.0,0.0,0.0
