pg_id,title,author,born,died,locc,subjects,bookshelves,bytes,words_est
59333,Harold's Bride: A Tale,"A. L. O. E., 1821-1893",1821,1893,PR,Marriage -- Fiction; Missions -- India -- Fiction; India -- History -- 19th century -- Fiction,Category: Novels,324538,55006
26094,Hebrew Heroes: A Tale Founded on Jewish History,"A. L. O. E., 1821-1893",1821,1893,BM; BS; PR,"Biographical fiction; Bible. Old Testament -- Fiction; Judas Maccabaeus (Judah Maccabee, יהודה המכבי); Jews -- History -- Fiction",Category: Historical Novels,421974,71521
35533,The Haunted Room: A Tale,"A. L. O. E., 1821-1893",1821,1893,PR,Fiction,Category: Novels; Category: British Literature,422978,71691
35705,The Spanish Cavalier: A Story of Seville,"A. L. O. E., 1821-1893",1821,1893,PR,Seville (Spain) -- Fiction,Category: Historical Novels; Category: Novels,370411,62781
4955,Leah Mordecai: A Novel,"Abbott, Belle K. (Belle Kendrick), 1842-1893",1842,1893,PS,Fiction,Category: Historical Novels; Category: Novels,350534,59412
56843,Silanus the Christian,"Abbott, Edwin Abbott, 1838-1926",1838,1926,BR; PR,"Church history -- Primitive and early church, ca. 30-600 -- Fiction; Christian fiction",Category: Historical Novels; Category: Novels,794093,134592
29865,Highacres,"Abbott, Jane, 1881-1968",1881,1968,PZ; PS,Fiction,Category: Children & Young Adult Reading; Category: Novels; Category: American Literature,387074,65605
4954,"Laicus; Or, the Experiences of a Layman in a Country Parish.","Abbott, Lyman, 1835-1922",1835,1922,PS,Christian fiction; New York (State) -- Fiction; Parishes -- Fiction,Category: Novels; Category: American Literature; Category: Religion/Spirituality,385994,65422
42096,The King of the Mountains,"About, Edmond, 1828-1885",1828,1885,PQ,Brigands and robbers -- Fiction,Category: Adventure; Category: Novels; Category: French Literature,385623,65359
20724,The man with the broken ear,"About, Edmond, 1828-1885",1828,1885,PQ,Science fiction,Category: Science-Fiction & Fantasy; Category: Novels; Category: French Literature,367286,62251
17955,The Trials of the Soldier's Wife: A Tale of the Second American Revolution,"Abrams, Alex. St. Clair (Alexander St. Clair), 1845-1931",1845,1931,PS,"United States -- History -- Civil War, 1861-1865 -- Fiction; Confederate States of America -- Fiction",Category: Historical Novels; Category: Novels; Category: American Literature,414972,70334
8661,An Algonquin Maiden: A Romance of the Early Days of Upper Canada,"Adam, G. Mercer (Graeme Mercer), 1830-1912",1830,1912,PS,Historical fiction; Indians of North America -- Canada -- Fiction; Love stories; Algonquian Indians -- Fiction,Category: Historical Novels; Category: Romance; Category: Novels,447011,75764
12919,A Texas Matchmaker,"Adams, Andy, 1859-1935",1859,1935,PS,Texas -- Fiction,Western; Category: Romance; Category: Novels; Category: American Literature,526097,89168
12884,"Reed Anthony, Cowman: An Autobiography","Adams, Andy, 1859-1935",1859,1935,PS,Texas -- Fiction; Ranchers -- Fiction,Western; Category: Biographies; Category: Adventure; Category: History - American,548201,92915
12797,The Log of a Cowboy: A Narrative of the Old Trail Days,"Adams, Andy, 1859-1935",1859,1935,PS,Western stories; Cowboys -- Fiction; Cattle drives -- Fiction,Western; Category: Historical Novels; Category: Adventure; Category: American Literature,567804,96237
1987,The Outlet,"Adams, Andy, 1859-1935",1859,1935,PS,Fiction; Western stories,Western; Category: Historical Novels; Category: Adventure; Category: American Literature,554120,93918
12791,Wells Brothers: The Young Cattle Kings,"Adams, Andy, 1859-1935",1859,1935,PS,Historical fiction; Western stories; Ranch life -- Fiction,Western; Category: Adventure; Category: Novels; Category: American Literature,444513,75341
20745,"An Outcast; Or, Virtue and Faith","Adams, F. Colburn (Francis Colburn), 1850-1891",1850,1891,PS,Conduct of life -- Fiction; United States -- Social life and customs -- 19th century -- Fiction; Vice -- Fiction,Category: Novels; Category: American Literature,720416,122104
4958,"Justice in the By-Ways, a Tale of Life","Adams, F. Colburn (Francis Colburn), 1850-1891",1850,1891,PS,Slavery -- Fiction; Charleston (S.C.) -- History -- 1775-1865 -- Fiction,Category: Novels; Category: American Literature,733221,124274
4680,"Manuel Pereira; Or, The Sovereign Rule of South Carolina","Adams, F. Colburn (Francis Colburn), 1850-1891",1850,1891,PS,"Biographical fiction; Pereira, Manuel -- Fiction; African Americans -- Fiction; South Carolina -- Fiction",Category: Historical Novels; Category: Novels; Category: American Literature,517781,87759
4677,"Our World; Or, the Slaveholder's Daughter","Adams, F. Colburn (Francis Colburn), 1850-1891",1850,1891,PS,Slaveholders -- Fiction; African Americans -- Fiction,Slavery; Category: Novels; Category: American Literature,1348070,228486
4959,The Life and Adventures of Maj. Roger Sherman Potter,"Adams, F. Colburn (Francis Colburn), 1850-1891",1850,1891,PS,Political fiction,Category: Humour; Category: Novels; Category: American Literature,927254,157161
18549,"The Von Toodleburgs; Or, The History of a Very Distinguished Family","Adams, F. Colburn (Francis Colburn), 1850-1891",1850,1891,PS,Treasure troves -- Fiction; New York (State) -- Social life and customs -- Fiction; Families -- Fiction,Category: Novels; Category: American Literature,480930,81513
14633,The Transgressors. Story of a Great Sin. A Political Novel of the Twentieth Century,"Adams, Francis A. (Francis Alexandre), 1874-1975",1874,1975,PS,Political fiction,Category: Novels; Category: American Literature; Category: Politics,445202,75457
15247,John Henry Smith: A humorous romance of outdoor life,"Adams, Frederick Upham, 1859-1921",1859,1921,PS,Humorous stories; Outdoor life -- Fiction,Category: Romance; Category: Humour; Category: Novels; Category: American Literature; Category: Sports/Hobbies,415980,70505
2815,"Democracy, an American novel","Adams, Henry, 1838-1918",1838,1918,PS,Widows -- Fiction; Political fiction; Washington (D.C.) -- Fiction; Legislators -- Fiction; Socialites -- Fiction,Category: Novels; Category: American Literature,429615,72816
14409,Esther,"Adams, Henry, 1838-1918",1838,1918,PS,Bildungsromans; Clergy -- Fiction; Man-woman relationships -- Fiction; Women painters -- Fiction,Category: Novels; Category: American Literature,335821,56918
16114,The Knight of the Golden Melice: A Historical Romance,"Adams, John Turvill, 1805-1882",1805,1882,PS,"Gardiner, Christopher, Sir, approximately 1596-approximately 1662 -- Fiction; Massachusetts -- History -- Colonial period, ca. 1600-1775 -- Fiction",Category: Historical Novels; Category: Romance; Category: American Literature,820175,139012
15328,The lost hunter: A tale of early times,"Adams, John Turvill, 1805-1882",1805,1882,PS,Indians of North America -- Fiction; New England -- Fiction; Adventure stories,Category: Historical Novels; Category: Novels; Category: American Literature,833193,141219
14615,The Sable Cloud: A Southern Tale With Northern Comments (1861),"Adams, Nehemiah, 1806-1878",1806,1878,PS,African Americans -- Fiction; Southern States -- Fiction; Enslaved persons -- Fiction,Category: History - American,490307,83102
6864,Average Jones,"Adams, Samuel Hopkins, 1871-1958",1871,1958,PS,Fiction; Detective and mystery stories,"Category: Crime, Thrillers and Mystery; Category: Novels; Category: American Literature",448609,76035
55400,Common Cause: A Novel of the War in America,"Adams, Samuel Hopkins, 1871-1958",1871,1958,PS,"World War, 1914-1918 -- United States -- Fiction",Category: Historical Novels; Category: Novels; Category: American Literature,715486,121268
61582,Flaming Youth,"Adams, Samuel Hopkins, 1871-1958",1871,1958,PS,Rich people -- Fiction; Women -- Fiction; Upper class -- Fiction; New York (N.Y.) -- Social life and customs -- 20th century -- Fiction,Category: Novels; Category: American Literature,520369,88198
10944,From a Bench in Our Square,"Adams, Samuel Hopkins, 1871-1958",1871,1958,PS,United States -- Social life and customs -- 20th century -- Fiction,Category: Novels; Category: American Literature,351247,59533
15431,Success: A Novel,"Adams, Samuel Hopkins, 1871-1958",1871,1958,PS,Journalists -- Fiction,Category: Novels; Category: American Literature,1049029,177801
16447,The Clarion,"Adams, Samuel Hopkins, 1871-1958",1871,1958,PS,Man-woman relationships -- Fiction; Newspapers -- Fiction; Slums -- Fiction; Reporters and reporting -- Fiction,Category: Novels; Category: American Literature,720161,122061
36335,The Secret of Lonesome Cove,"Adams, Samuel Hopkins, 1871-1958",1871,1958,PS,Detective and mystery stories; New England -- Fiction,"Category: Crime, Thrillers and Mystery; Category: Novels; Category: American Literature",358027,60682
71138,Pioneers of space,"Adamski, George, 1891-1965",1891,1965,PS,Science fiction; Interplanetary voyages -- Fiction,Category: Science-Fiction & Fantasy; Category: Adventure,429207,72746
67878,Gods of Modern Grub Street: Impressions of Contemporary Authors,"Adcock, Arthur St. John, 1864-1930",1864,1930,PR,English literature -- 20th century -- History and criticism; English fiction -- 20th century -- History and criticism,"Category: Essays, Letters & Speeches; Category: British Literature",363668,61638
36648,Home Influence: A Tale for Mothers and Daughters,"Aguilar, Grace, 1816-1847",1816,1847,PR,Domestic fiction; Mothers and daughters -- Fiction,Category: Novels; Category: British Literature; Category: Parenthood & Family Relations,1019759,172840
18387,The Days of Bruce: A Story from Scottish History. Vol. 1,"Aguilar, Grace, 1816-1847",1816,1847,PR,"Robert I, King of Scots, 1274-1329 -- Fiction; Scotland -- History -- Robert I, 1306-1329 -- Fiction",Historical Fiction; Category: Historical Novels; Category: British Literature,865517,146697
12725,"The Vale of Cedars; Or, The Martyr","Aguilar, Grace, 1816-1847",1816,1847,PR,"Historical fiction; Inquisition -- Fiction; Spain -- History -- Ferdinand and Isabella, 1479-1516 -- Fiction",Category: Historical Novels; Category: Romance; Category: British Literature,585766,99282
33867,King of Camargue,"Aicard, Jean, 1848-1921",1848,1921,PQ,French fiction -- Translations into English,Category: Novels; Category: French Literature,470846,79804
58940,"The Wolf Demon; or, The Queen of the Kanawha","Aiken, Albert W., 1846-1894",1846,1894,PS,"Revenge -- Fiction; Murder -- Fiction; Dime novels; Indian captivities -- Fiction; Shawnee Indians -- Fiction; Frontier and pioneer life -- Ohio -- Fiction; Hunters -- Fiction; Boone, Daniel, 1734-1820 -- Fiction; Demonology -- Fiction",Category: Science-Fiction & Fantasy; Category: Romance; Category: Adventure; Category: Novels; Category: American Literature,495790,84032
73739,The river,"Aiken, Ednah, 1872-1960",1872,1960,PS,Western stories; California -- Fiction; Colorado River (Colo.-Mexico) -- Fiction; Imperial Valley (Calif. and Mexico) -- Fiction; Irrigation -- California -- Fiction; Water rights -- California -- Fiction; Water-supply -- California -- Fiction,Category: Novels; Category: American Literature,679164,115112
44514,Last of the Incas: A Romance of the Pampas,"Aimard, Gustave, 1818-1883",1818,1883,PQ,Mapuche Indians -- Fiction; Indians of South America -- Fiction,Category: Historical Novels; Category: Adventure,364559,61789
44399,Stoneheart: A Romance,"Aimard, Gustave, 1818-1883",1818,1883,PQ,Apache Indians -- Fiction; Frontier and pioneer life -- Mexico -- Fiction,Category: Adventure; Category: Novels,386544,65515
44672,"Stronghand; or, The Noble Revenge","Aimard, Gustave, 1818-1883",1818,1883,PQ,Disinheritance -- Fiction,Category: Adventure; Category: Novels,706797,119796
43716,The Adventurers,"Aimard, Gustave, 1818-1883",1818,1883,PQ,Fiction; Adventure stories,Category: Adventure; Category: Novels,583869,98960
44375,The Bee Hunters: A Tale of Adventure,"Aimard, Gustave, 1818-1883",1818,1883,PQ,Western stories; Adventure stories; French fiction -- Translations into English,Category: Adventure; Category: Novels,462771,78435
40219,The Border Rifles: A Tale of the Texan War,"Aimard, Gustave, 1818-1883",1818,1883,PQ,Western stories; Texas -- History -- To 1846 -- Fiction,Category: Historical Novels; Category: Adventure; Category: American Literature,500509,84832
