pg_id,title,author,born,died,locc,subjects,bookshelves,bytes,words_est
26094,Hebrew Heroes: A Tale Founded on Jewish History,"A. L. O. E., 1821-1893",1821,1893,BM; BS; PR,"Biographical fiction; Bible. Old Testament -- Fiction; Judas Maccabaeus (Judah Maccabee, יהודה המכבי); Jews -- History -- Fiction",Category: Historical Novels,421974,71521
16791,The English Church in the Eighteenth Century,"Abbey, Charles J. (Charles John), 1833-1919",1833,1919,BX,Church of England -- History -- 18th century,Category: History - Other; Category: History - British; Category: History - Early Modern (c. 1450-1750); Category: History - Modern (1750+); Category: History - Religious,1419750,240635
48916,Outings at Odd Times,"Abbott, Charles C. (Charles Conrad), 1843-1919",1843,1919,QH,Natural history -- Outdoor books,"Category: Essays, Letters & Speeches; Category: Nature/Gardening/Animals",410957,69653
56843,Silanus the Christian,"Abbott, Edwin Abbott, 1838-1926",1838,1926,BR; PR,"Church history -- Primitive and early church, ca. 30-600 -- Fiction; Christian fiction",Category: Historical Novels; Category: Novels,794093,134592
59400,"The History of Christianity | Consisting of the Life and Teachings of Jesus of Nazareth; the Adventures of Paul and the Apostles; and the Most Interesting Events in the Progress of Christianity, from the Earliest Period to the Present Time.","Abbott, John S. C. (John Stevens Cabot), 1805-1877",1805,1877,BR,"Church history; Jesus Christ -- Biography; Paul, the Apostle, Saint",Category: History - Religious,1070301,181406
75543,An illustrated commentary on the Gospel according to St. John,"Abbott, Lyman, 1835-1922",1835,1922,BS,Bible. John -- Commentaries,Category: Religion/Spirituality; Category: Teaching & Education,1353206,229356
22364,The Philosophy of the Moral Feelings,"Abercrombie, John, 1780-1844",1780,1844,BJ,Ethics,Philosophy; Category: Philosophy & Ethics; Category: Religion/Spirituality,368765,62502
55628,"Dealings with the Inquisition; Or, Papal Rome, Her Priests, and Her Jesuits","Achilli, Giacinto, 1803-1860?",1803,1860,BX,Catholic Church -- Controversial literature; Inquisition,Category: Biographies; Category: History - Modern (1750+); Category: History - Religious,888650,150618
71454,Guide to the study of animal ecology,"Adams, Charles C. (Charles Christopher), 1873-1955",1873,1955,QH; QL,Animal ecology,Category: Science - Biology; Category: How To ...; Category: Nature/Gardening/Animals,339452,57534
20428,Bertha and Her Baptism,"Adams, Nehemiah, 1806-1878",1806,1878,BV,Infant baptism,Category: Religion/Spirituality,354458,60077
47586,"Everyday Objects; Or, Picturesque Aspects of Natural History.","Adams, W. H. Davenport (William Henry Davenport), 1828-1891",1828,1891,QH,Natural history,Category: Science - Biology; Category: Nature/Gardening/Animals; Category: Teaching & Education,698021,118308
39941,The Expositor's Bible: The Song of Solomon and the Lamentations of Jeremiah,"Adeney, Walter F. (Walter Frederic), 1849-1920",1849,1920,BS,Bible. Song of Solomon -- Commentaries; Bible. Lamentations -- Commentaries,Category: Religion/Spirituality,605841,102684
60068,An ethical philosophy of life presented in its main outlines,"Adler, Felix, 1851-1933",1851,1933,BD,"Ethics; Philosophy, Modern",Category: Biographies; Category: Philosophy & Ethics; Category: Religion/Spirituality,632552,107212
37697,Creed and Deed: A Series of Discourses,"Adler, Felix, 1851-1933",1851,1933,BL,Religion; Ethics; Ethical culture movement,Category: Philosophy & Ethics; Category: Religion/Spirituality,396693,67236
72520,Annals of the persecution in Scotland,"Aikman, James, 1779?-1860",1779,1860,BX,Reformation -- Scotland; Scotland -- Church history -- 17th century; Covenanters -- Persecutions -- Scotland; Christian martyrs -- Scotland -- History,Category: History - British; Category: History - Early Modern (c. 1450-1750); Category: History - Religious,1349783,228776
10655,Autobiography of Sir George Biddell Airy,"Airy, George Biddell, 1801-1892",1801,1892,CT; QB,"Autobiographies; Astronomers -- Great Britain -- Biography; Airy, George Biddell, 1801-1892; Royal Greenwich Observatory",Category: Biographies; Category: Science - Physics; Category: Mathematics,881061,149332
