pg_id,title,author,born,died,locc,subjects,curated_shelves,bytes,words_est
2316,The Choir Invisible,"Allen, James Lane, 1849-1925",1849,1925,PS,Kentucky -- Fiction,"Bestsellers, American, 1895-1923",405965,68807
12482,The Mettle of the Pasture,"Allen, James Lane, 1849-1925",1849,1925,PS,Kentucky -- Fiction,"Bestsellers, American, 1895-1923",462118,78325
25542,Black Oxen,"Atherton, Gertrude Franklin Horn, 1857-1948",1857,1948,PS,American fiction -- 20th century,"Bestsellers, American, 1895-1923",711249,120550
8535,The Sisters-In-Law: A Novel of Our Time,"Atherton, Gertrude Franklin Horn, 1857-1948",1857,1948,PS,France -- Fiction; San Francisco (Calif.) -- Fiction,"Bestsellers, American, 1895-1923",664983,112708
1342,Pride and Prejudice,"Austen, Jane, 1775-1817",1775,1817,PR,England -- Fiction; Young women -- Fiction; Love stories; Sisters -- Fiction; Domestic fiction; Courtship -- Fiction; Social classes -- Fiction,Best Books Ever Listings; Harvard Classics,772386,130912
17237,A Man for the Ages: A Story of the Builders of Democracy,"Bacheller, Irving, 1859-1950",1859,1950,PS,"Lincoln, Abraham, 1809-1865 -- Fiction","Bestsellers, American, 1895-1923",577878,97945
2799,Eben Holden: A Tale of the North Country,"Bacheller, Irving, 1859-1950",1859,1950,PS,Historical fiction; Farm life -- Fiction; New York (State) -- Fiction,"Bestsellers, American, 1895-1923",492707,83509
18056,The Tin Soldier,"Bailey, Temple, 1869-1953",1869,1953,PS,"World War, 1914-1918 -- Fiction","Bestsellers, American, 1895-1923",553114,93748
1237,Father Goriot,"Balzac, Honoré de, 1799-1850",1799,1850,PQ,"Fathers and daughters -- Fiction; Paris (France) -- Fiction; French fiction -- Translations into English; Older men -- Fiction; France -- History -- Louis XVIII, 1814-1824 -- Fiction",Best Books Ever Listings; Harvard Classics,612225,103766
4380,Under Fire: The Story of a Squad,"Barbusse, Henri, 1873-1935",1873,1935,PQ,"World War, 1914-1918 -- Fiction","World War I; Bestsellers, American, 1895-1923",660461,111942
3659,The Rosary,"Barclay, Florence L. (Florence Louisa), 1862-1921",1862,1921,PR,England -- Fiction; Love stories; Rich people -- Fiction; Artists -- Fiction,"Bestsellers, American, 1895-1923",615588,104336
14961,Sentimental Tommy | The Story of His Boyhood,"Barrie, J. M. (James Matthew), 1860-1937",1860,1937,PR,London (England) -- History -- 19th century -- Fiction,"Bestsellers, American, 1895-1923",648894,109982
4082,The Barrier,"Beach, Rex, 1877-1949",1877,1949,PS,Western stories; Adventure stories; Yukon -- Fiction,"Western; Movie Books; Bestsellers, American, 1895-1923",507783,86064
6379,The Net,"Beach, Rex, 1877-1949",1877,1949,PS,Sicily (Italy) -- Fiction; Mafia -- Louisiana -- New Orleans -- Fiction; Italian Americans -- Louisiana -- New Orleans -- Fiction,"Movie Books; Bestsellers, American, 1895-1923",586935,99480
1845,"Zuleika Dobson; Or, An Oxford Love Story","Beerbohm, Max, Sir, 1872-1956",1872,1956,PR,Young women -- Fiction; Love stories; College stories; College students -- Fiction; University of Oxford -- Fiction; Oxford (England) -- Fiction,Best Books Ever Listings,484343,82092
6840,Queen Lucia,"Benson, E. F. (Edward Frederic), 1867-1940",1867,1940,PR,Humorous stories; Women -- England -- Fiction; Lucia (Fictitious character) -- Fiction; England -- Social life and customs -- 20th century -- Fiction,Best Books Ever Listings; Humor,508887,86252
1484,The Four Horsemen of the Apocalypse,"Blasco Ibáñez, Vicente, 1867-1928",1867,1928,PQ,"World War, 1914-1918 -- Fiction; War stories","World War I; Bestsellers, American, 1895-1923; 6 Best Loved Spanish Literary Classics",875374,148368
768,Wuthering Heights,"Brontë, Emily, 1818-1848",1818,1848,PR,Revenge -- Fiction; Psychological fiction; Rejection (Psychology) -- Fiction; Love stories; Domestic fiction; Yorkshire (England) -- Fiction; Foundlings -- Fiction; Rural families -- Fiction; Heathcliff (Fictitious character : Brontë) -- Fiction; Triangles (Interpersonal relations) -- Fiction,Best Books Ever Listings; Gothic Fiction; Movie Books,693819,117596
