pg_id,title,author,born,died,locc,subjects,curated_shelves,bytes,words_est
20842,Dreams,"Bergson, Henri, 1859-1941",1859,1941,BF,Dreams,Psychology; Nobel Prizes in Literature,,
56852,Time and Free Will: An Essay on the Immediate Data of Consciousness,"Bergson, Henri, 1859-1941",1859,1941,BF,Consciousness; Space and time; Free will and determinism,Nobel Prizes in Literature,,
68991,"Giant brains; or, Machines that think","Berkeley, Edmund Callis, 1909-1988",1909,1988,QA,Computers -- Popular works,,,
13309,A First Book in Algebra,"Boyden, Wallace C. (Wallace Clarke), 1858-1937",1858,1937,QA,Algebra,Mathematics,,
67463,"A Vision of the Future, Based on the Application of Ethical Principles","Clapperton, Jane Hume, 1832-1914",1832,1914,BJ; HM,"Ethics, Evolutionary; Social evolution",,,
52293,On the various forces of nature and their relations to each other,"Faraday, Michael, 1791-1867",1791,1867,QC,Physics,,,
14474,The Chemical History of a Candle,"Faraday, Michael, 1791-1867",1791,1867,QD,Chemistry; Candles,Chemistry,,
37729,"A Discourse Presented to the Most Serene Don Cosimo II., Great Duke of Tuscany, Concerning the Natation of Bodies Vpon, and Submersion In, the Water.","Galilei, Galileo, 1564-1642",1564,1642,QC,Hydrostatics; Specific gravity,,,
46036,The sidereal messenger of Galileo Galilei,"Galilei, Galileo, 1564-1642",1564,1642,QB,Astronomy -- Early works to 1800; Jupiter (Planet) -- Satellites,,,
25711,Freedom in Science and Teaching. | from the German of Ernst Haeckel,"Haeckel, Ernst, 1834-1919",1834,1919,LA; QH,"Evolution (Biology); Teaching, Freedom of; Science -- Study and teaching; Virchow, Rudolf Ludwig Karl, 1821-1902. Freiheit der Wissenschaft im modernen Staat",,,
4320,An Enquiry Concerning the Principles of Morals,"Hume, David, 1711-1776",1711,1776,BJ,Ethics; Conduct of life,Philosophy,,
73557,"The principles and objects of geology, with special reference to the geology of Egypt","Hume, W. F. (William Fraser), 1867-1949",1867,1949,QE,Geology; Geology -- Egypt; Egypt -- Surveys -- Bibliography; Government publications -- Egypt -- Bibliography,,,
15429,Thomas Henry Huxley: A Character Sketch,"Huxley, Leonard, 1860-1933",1860,1933,QH,"Huxley, Thomas Henry, 1825-1895",,,
2926,"A Critical Examination of the Position of Mr. Darwin's Work, ""On the Origin of Species,"" in Relation to the Complete Theory of the Causes of the Phenomena of Organic Nature | Lecture VI. (of VI.), ""Lectures to Working Men"", at the Museum of Practical Geology, 1863, on Darwin's Work: ""Origin of Species""","Huxley, Thomas Henry, 1825-1895",1825,1895,QH,"Evolution (Biology); Darwin, Charles, 1809-1882. On the origin of species",Biology,,
16136,"American Addresses, with a Lecture on the Study of Biology","Huxley, Thomas Henry, 1825-1895",1825,1895,QH,Evolution; Johns Hopkins University; Biology -- Study and teaching,Biology,,
2937,Coral and Coral Reefs,"Huxley, Thomas Henry, 1825-1895",1825,1895,QH,Coral reefs and islands,,,
2931,Evidence as to Man's Place in Nature,"Huxley, Thomas Henry, 1825-1895",1825,1895,QH,Evolution; Human beings -- Origin; Apes,,,
2936,Geological Contemporaneity and Persistent Types of Life,"Huxley, Thomas Henry, 1825-1895",1825,1895,QE,Life (Biology); Fossils,,,
2354,Note on the Resemblances and Differences in the Structure and the Development of the Brain in Man and Apes,"Huxley, Thomas Henry, 1825-1895",1825,1895,QH,Evolution (Biology),,,
2089,On the Reception of the 'Origin of Species',"Huxley, Thomas Henry, 1825-1895",1825,1895,QH,"Evolution (Biology); Darwin, Charles, 1809-1882. On the origin of species",Biology,,
2925,"The Conditions of Existence as Affecting the Perpetuation of Living Beings | Lecture V. (of VI.), ""Lectures to Working Men"", at the Museum of Practical Geology, 1863, on Darwin's Work: ""Origin of Species""","Huxley, Thomas Henry, 1825-1895",1825,1895,QH,"Evolution (Biology); Darwin, Charles, 1809-1882. On the origin of species",,,
2927,The Darwinian Hypothesis,"Huxley, Thomas Henry, 1825-1895",1825,1895,QH,"Evolution (Biology); Darwin, Charles, 1809-1882",Biology,,
2923,"The Method by Which the Causes of the Present and Past Conditions of Organic Nature Are to Be Discovered; the Origination of Living Beings | Lecture III. (of VI.), ""Lectures to Working Men"", at the Museum of Practical Geology, 1863, on Darwin's Work: ""Origin of Species""","Huxley, Thomas Henry, 1825-1895",1825,1895,QE; QH,"Evolution (Biology); Darwin, Charles, 1809-1882. On the origin of species",,,
2922,"The Past Condition of Organic Nature | Lecture II. (of VI.), ""Lectures to Working Men"", at the Museum of Practical Geology, 1863, on Darwin's Work: ""Origin of Species""","Huxley, Thomas Henry, 1825-1895",1825,1895,QH,"Evolution (Biology); Darwin, Charles, 1809-1882. On the origin of species",,,
2924,"The Perpetuation of Living Beings, Hereditary Transmission and Variation | Lecture IV. (of VI.), ""Lectures to Working Men"", at the Museum of Practical Geology, 1863, on Darwin's Work: ""Origin of Species""","Huxley, Thomas Henry, 1825-1895",1825,1895,QH,"Evolution (Biology); Darwin, Charles, 1809-1882. On the origin of species",,,
2921,"The Present Condition of Organic Nature | Lecture I. (of VI.), ""Lectures to Working Men"", at the Museum of Practical Geology, 1863, on Darwin's Work: ""Origin of Species""","Huxley, Thomas Henry, 1825-1895",1825,1895,QH,"Evolution (Biology); Darwin, Charles, 1809-1882. On the origin of species",,,
2928,"Time and Life: Mr. Darwin's ""Origin of Species""","Huxley, Thomas Henry, 1825-1895",1825,1895,QH,"Evolution (Biology); Darwin, Charles, 1809-1882. On the origin of species",,,
2939,William Harvey and the Discovery of the Circulation of the Blood,"Huxley, Thomas Henry, 1825-1895",1825,1895,QP,"Harvey, William, 1578-1657; Blood -- Circulation -- History",Physiology,,
2938,Yeast,"Huxley, Thomas Henry, 1825-1895",1825,1895,QR,Yeast,Microbiology,,
71191,The celestial worlds discover'd,"Huygens, Christiaan, 1629-1695",1629,1695,QB,Cosmology -- Early works to 1800; Plurality of worlds -- Early works to 1800; Life on other planets -- Early works to 1800,,,
14725,Treatise on light,"Huygens, Christiaan, 1629-1695",1629,1695,QC,"Wave theory of light; Refraction, Double",,,
57837,The gift of friendship,"Hyatt, Alfred H. (Alfred Henry), 1871-1911 [Compiler]",1871,1911,BJ; PN,Friendship,,,
55262,Psychology: Briefer Course,"James, William, 1842-1910",1842,1910,BF,Psychology,,,
58881,A Philosophical Essay on Probabilities,"Laplace, Pierre Simon, marquis de, 1749-1827",1749,1827,QA,Probabilities,,,
34350,"A Manual of Elementary Geology | or, The Ancient Changes of the Earth and its Inhabitants as Illustrated by Geological Monuments","Lyell, Charles, Sir, 1797-1875",1797,1875,QE,Geology,,,
33224,"Principles of Geology | or, The Modern Changes of the Earth and its Inhabitants Considered as Illustrative of Geology","Lyell, Charles, Sir, 1797-1875",1797,1875,QE,Geology,,,
6335,The Antiquity of Man,"Lyell, Charles, Sir, 1797-1875",1797,1875,QH,Evolution (Biology); Human beings -- Origin; Glacial epoch; Human evolution,,,
3772,The Student's Elements of Geology,"Lyell, Charles, Sir, 1797-1875",1797,1875,QE,Geology,Geology,,
39508,Popular scientific lectures,"Mach, Ernst, 1838-1916",1838,1916,QC,Physics,,,
27942,"A System of Logic, Ratiocinative and Inductive","Mill, John Stuart, 1806-1873",1806,1873,BC,"Science -- Methodology; Knowledge, Theory of; Logic",Philosophy; Banned Books from Anne Haight's list,,
26495,"A System of Logic, Ratiocinative and Inductive (Vol. 1 of 2)","Mill, John Stuart, 1806-1873",1806,1873,BC,"Science -- Methodology; Knowledge, Theory of; Logic",Philosophy,,
35420,"A System of Logic: Ratiocinative and Inductive, 7th Edition, Vol. I","Mill, John Stuart, 1806-1873",1806,1873,BC,"Science -- Methodology; Knowledge, Theory of; Logic",Philosophy,,
30737,"My Schools and Schoolmasters; Or, The Story of My Education","Miller, Hugh, 1802-1856",1802,1856,QE,"Miller, Hugh, 1802-1856 -- Knowledge and learning; Education -- Scotland -- History -- 19th century; Geologists -- Scotland -- Biography",,,
28273,"The Cruise of the Betsey | or, A Summer Ramble Among the Fossiliferous Deposits of the Hebrides. With Rambles of a Geologist or, Ten Thousand Miles Over the Fossiliferous Deposits of Scotland","Miller, Hugh, 1802-1856",1802,1856,QE,Geology -- Scotland,,,
67527,The Foot-prints of the Creator,"Miller, Hugh, 1802-1856",1802,1856,QE; QH,"Evolution; Creation; Geology -- Scotland; Fishes, Fossil; Miller, Hugh, 1802-1856; Asterolepididae; Paleontology -- Scotland",,,
63923,"The Old Red Sandstone; or, New Walks in an Old Field","Miller, Hugh, 1802-1856",1802,1856,QE,"Geology -- Scotland; Geology, Stratigraphic -- Devonian",,,
43439,Short Studies in Ethics: An Elementary Text-Book for Schools,"Miller, John Ormsby, 1861-",1861,,BJ,Ethics,,,
59512,In the Wilds of South America,"Miller, Leo E. (Leo Edward), 1887-1952",1887,1952,QH; F2201,South America -- Description and travel; Natural history -- South America,,,
47648,Geology: The Science of the Earth's Crust,"Miller, William J. (William John), 1880-1965",1880,1965,QE,Geology,,,
73297,"The electron, its isolation and measurement and the determination of some of its properties","Millikan, Robert Andrews, 1868-1953",1868,1953,QC,Electrons,,,
31511,A History of Witchcraft in England from 1558 to 1718,"Notestein, Wallace, 1878-1969",1878,1969,BF,Witchcraft -- England -- History,Witchcraft,,
38148,"The Geography of the Region about Devil's Lake and the Dalles of the Wisconsin | With Some Notes on Its Surface Geology","Salisbury, Rollin D., 1858-1922",1858,1922,QE; F516,Physical geography; Wisconsin -- Description and travel,,,
67363,"The Theory of Moral Sentiments | Or, an Essay Towards an Analysis of the Principles by Which Men Naturally Judge Concerning the Conduct and Character, First of Their Neighbours, and Afterwards of Themselves. to Which Is Added, a Dissertation on the Origin of Languages.","Smith, Adam, 1723-1790",1723,1790,BJ,Ethics -- Early works to 1800; Language and languages -- Early works to 1800,,,
69454,A defence of modern spiritualism,"Wallace, Alfred Russel, 1823-1913",1823,1913,BF,Spiritualism,,,
