pg_id,title,author,born,died,locc,subjects,curated_shelves,bytes,words_est,length_bucket
14355,54-40 or Fight,"Hough, Emerson, 1857-1923",1857,1923,PS,Historical fiction; Oregon Territory -- History -- Fiction; United States -- History -- 1815-1861 -- Fiction,"Bestsellers, American, 1895-1923",513324,87004,short
14598,The Goose Girl,"MacGrath, Harold, 1871-1932",1871,1932,PS,Princesses -- Fiction,"Bestsellers, American, 1895-1923",396749,67245,short
59981,The Village,"Bunin, Ivan Alekseevich, 1870-1953",1870,1953,PG,"Russia -- Fiction; Brothers -- Fiction; Peasants -- Russia -- Fiction; Russia -- History -- Revolution, 1905-1907 -- Fiction",Nobel Prizes in Literature,435298,73779,short
8387,Hunger,"Hamsun, Knut, 1859-1952",1859,1952,PT,Authors -- Fiction; Norway -- Fiction; Hunger -- Fiction; Starvation -- Fiction; Urban poor -- Fiction,Best Books Ever Listings; Nobel Prizes in Literature,382648,64855,short
308,Three men in a boat (to say nothing of the dog),"Jerome, Jerome K. (Jerome Klapka), 1859-1927",1859,1927,PR,"Young men -- Travel -- England -- Thames River -- Fiction; Boats and boating -- England -- Thames River -- Fiction; Dogs -- Fiction; Humorous stories, English; Thames River (England) -- Fiction; Male friendship -- Fiction",Best Books Ever Listings; Humor,394007,66780,short
17498,"When Knighthood Was in Flower | or, the Love Story of Charles Brandon and Mary Tudor the King's Sister, and Happening in the Reign of His August Majesty King Henry the Eighth","Major, Charles, 1856-1913",1856,1913,PS,"Historical fiction; Great Britain -- History -- Henry VIII, 1509-1547 -- Fiction; Love stories; Suffolk, Charles Brandon, Duke of, approximately 1484-1545 -- Fiction; Mary, Queen, consort of Louis XII, King of France, 1496-1533 -- Fiction","Bestsellers, American, 1895-1923",527973,89486,short
4707,The Valley of Silent Men: A Story of the Three River Country,"Curwood, James Oliver, 1878-1927",1878,1927,PS,Western stories; Royal North West Mounted Police (Canada) -- Fiction; Mounted police -- Fiction; Athabasca (Alta.) -- Fiction; Athabasca River Valley (Alta.) -- Fiction; Peace-Athabasca Delta (Alta.) -- Fiction,"Bestsellers, American, 1895-1923",424633,71971,short
557,Puck of Pook's Hill,"Kipling, Rudyard, 1865-1936",1865,1936,PR; PZ,Fantasy fiction; Space and time -- Fiction; Great Britain -- History -- Fiction,Scouts; Children's Literature; Nobel Prizes in Literature,342741,58091,short
14393,The Inner Shrine,"King, Basil, 1859-1928",1859,1928,PS,Widows -- Fiction,"Bestsellers, American, 1895-1923",465897,78965,short
2166,King Solomon's Mines,"Haggard, H. Rider (Henry Rider), 1856-1925",1856,1925,PR,"Africa -- Fiction; Missing persons -- Fiction; Adventure stories; Treasure troves -- Fiction; Hunting guides -- Fiction; Diamond mines and mining -- Fiction; Quatermain, Allan (Fictitious character) -- Fiction",Adventure; Best Books Ever Listings; Movie Books,480174,81385,short
133,The Damnation of Theron Ware,"Frederic, Harold, 1856-1898",1856,1898,PS,Psychological fiction; Clergy -- Fiction; New York (State) -- Fiction; Belief and doubt -- Fiction; Methodists -- Fiction,"Bestsellers, American, 1895-1923",707359,119891,medium
70875,Arrowsmith,"Lewis, Sinclair, 1885-1951",1885,1951,PS,Satire; Physicians -- Fiction; Medical fiction; Medical ethics -- Fiction; Medicine -- Practice -- Fiction; Medicine -- Research -- Fiction,Nobel Prizes in Literature,999386,169387,medium
1947,Scaramouche: A Romance of the French Revolution,"Sabatini, Rafael, 1875-1950",1875,1950,PR,"France -- History -- Revolution, 1789-1799 -- Fiction; War stories; Love stories; Adventure stories",Adventure; Best Books Ever Listings; Movie Books,755139,127989,medium
5006,Harriet and the Piper,"Norris, Kathleen Thompson, 1880-1966",1880,1966,PS,Married people -- Fiction; Man-woman relationships -- Fiction; New York (N.Y.) -- Social life and customs -- 20th century -- Fiction,"Bestsellers, American, 1895-1923",534872,90656,medium
16101,Diane of the Green Van,"Dalrymple, Leona, 1884-1968",1884,1968,PS,Inheritance and succession -- Fiction; Young women -- Fiction; Adventure stories; Automobile travel -- Fiction,"Bestsellers, American, 1895-1923",531174,90029,medium
