file,M_filtered,alpha,k,lag,rho_orig,rho_fgn,rho_surr,ci_95,orig_sig,fgn_sig,surr_sig
THE_ANALYSIS_OF_MIND.txt,30449,0.7426,1,1,0.12541,-0.00085,0.00563,0.01123,1,0,0
THE_ANALYSIS_OF_MIND.txt,30449,0.7426,1,2,0.06383,0.0023,-0.0041,0.01123,1,0,0
THE_ANALYSIS_OF_MIND.txt,30449,0.7426,1,5,0.06146,-0.00489,-0.00234,0.01123,1,0,0
THE_ANALYSIS_OF_MIND.txt,30449,0.7426,1,10,0.03973,-0.00258,0.0063,0.01123,1,0,0
THE_ANALYSIS_OF_MIND.txt,30449,0.7426,1,20,0.02277,0.00471,0.0087,0.01123,1,0,0
THE_ANALYSIS_OF_MIND.txt,30449,0.7426,1,50,0.01362,0.00013,0.00556,0.01123,1,0,0
THE_ANALYSIS_OF_MIND.txt,30449,0.7426,1,100,0.00472,-0.00178,-0.00688,0.01123,0,0,0
THE_ANALYSIS_OF_MIND.txt,30449,0.7426,1,200,0.00502,-0.00224,0.00549,0.01123,0,0,0
THE_ANALYSIS_OF_MIND.txt,30449,0.7426,1,300,0.00864,0.0049,-0.00248,0.01123,0,0,0
THE_ANALYSIS_OF_MIND.txt,30449,0.7426,2,1,0.08137,-0.00064,-0.00529,0.01123,1,0,0
THE_ANALYSIS_OF_MIND.txt,30449,0.7426,2,2,0.07383,-0.00648,-0.01192,0.01123,1,0,1
THE_ANALYSIS_OF_MIND.txt,30449,0.7426,2,5,0.04796,0.00437,-0.00435,0.01123,1,0,0
THE_ANALYSIS_OF_MIND.txt,30449,0.7426,2,10,0.0402,0.00044,0.01527,0.01123,1,0,1
THE_ANALYSIS_OF_MIND.txt,30449,0.7426,2,20,0.0254,-0.0061,0.00456,0.01123,1,0,0
THE_ANALYSIS_OF_MIND.txt,30449,0.7426,2,50,0.01636,6e-05,-0.00359,0.01123,1,0,0
THE_ANALYSIS_OF_MIND.txt,30449,0.7426,2,100,0.00916,0.00519,0.001,0.01123,0,0,0
THE_ANALYSIS_OF_MIND.txt,30449,0.7426,2,200,0.00503,-0.00721,0.00031,0.01123,0,0,0
THE_ANALYSIS_OF_MIND.txt,30449,0.7426,2,300,0.01182,-0.00603,-0.00797,0.01123,1,0,0
THE_ANALYSIS_OF_MIND.txt,30449,0.7426,3,1,0.10353,-0.00066,-0.00105,0.01123,1,0,0
THE_ANALYSIS_OF_MIND.txt,30449,0.7426,3,2,0.06228,-0.01506,-0.0042,0.01123,1,1,0
THE_ANALYSIS_OF_MIND.txt,30449,0.7426,3,5,0.04502,-0.00617,-0.00039,0.01123,1,0,0
THE_ANALYSIS_OF_MIND.txt,30449,0.7426,3,10,0.02808,0.00332,-0.01175,0.01123,1,0,1
THE_ANALYSIS_OF_MIND.txt,30449,0.7426,3,20,0.01608,-0.00464,0.00184,0.01123,1,0,0
THE_ANALYSIS_OF_MIND.txt,30449,0.7426,3,50,0.01682,-0.00132,0.0021,0.01123,1,0,0
THE_ANALYSIS_OF_MIND.txt,30449,0.7426,3,100,0.00807,-0.00836,0.00812,0.01123,0,0,0
