file,N_all,N_filt,M_filtered,alpha,alpha0,q,k,B_orig,B_surr_mean,B_surr_std,B_fgn,orig_surr,orig_fgn
THE_ANALYSIS_OF_MIND.txt,88342,30494,30449,0.7349,0.7581,0.6,1,0.9388,0.7753,0.0061,0.7692,1.2109,1.2205
THE_ANALYSIS_OF_MIND.txt,88342,30494,30449,0.7349,0.7581,0.6,2,0.8661,0.7722,0.0083,0.7795,1.1215,1.111
THE_ANALYSIS_OF_MIND.txt,88342,30494,30449,0.7349,0.7581,0.6,3,0.8896,0.7749,0.0063,0.7766,1.148,1.1455
THE_ANALYSIS_OF_MIND.txt,88342,30494,30449,0.7349,0.7581,0.6,4,0.8715,0.7745,0.0057,0.7749,1.1252,1.1246
THE_ANALYSIS_OF_MIND.txt,88342,30494,30449,0.7349,0.7581,0.6,5,0.8883,0.7751,0.0077,0.7775,1.1461,1.1425
THE_ANALYSIS_OF_MIND.txt,88342,30494,30449,0.7349,0.7581,0.6,6,0.8609,0.7797,0.0088,0.782,1.1041,1.1008
THE_ANALYSIS_OF_MIND.txt,88342,30494,30449,0.7349,0.7581,0.6,7,0.8621,0.7758,0.0076,0.7718,1.1113,1.117
THE_ANALYSIS_OF_MIND.txt,88342,30494,30449,0.7349,0.7581,0.6,8,0.8189,0.7739,0.0061,0.7726,1.0582,1.0599
THE_ANALYSIS_OF_MIND.txt,88342,30494,30449,0.7349,0.7581,0.6,9,0.8585,0.7771,0.0071,0.7627,1.1047,1.1256
THE_ANALYSIS_OF_MIND.txt,88342,30494,30449,0.7349,0.7581,0.6,10,0.8538,0.7731,0.0078,0.776,1.1044,1.1002
THE_ANALYSIS_OF_MIND.txt,88342,30494,30449,0.7349,0.7581,0.6,11,0.8469,0.7751,0.0065,0.78,1.0926,1.0858
THE_ANALYSIS_OF_MIND.txt,88342,30494,30449,0.7349,0.7581,0.6,12,0.8432,0.7748,0.0072,0.7832,1.0882,1.0767
THE_ANALYSIS_OF_MIND.txt,88342,30494,30449,0.7349,0.7581,0.6,13,0.8447,0.7756,0.0082,0.769,1.0892,1.0984
THE_ANALYSIS_OF_MIND.txt,88342,30494,30449,0.7349,0.7581,0.6,14,0.8251,0.7719,0.0074,0.7646,1.069,1.0792
THE_ANALYSIS_OF_MIND.txt,88342,30494,30449,0.7349,0.7581,0.6,15,0.8227,0.7755,0.0072,0.7877,1.0608,1.0444
