file,N_all,N_filt,M_filtered,alpha,alpha0,q,k,B_orig,B_surr_mean,B_surr_std,B_fgn,orig_surr,orig_fgn
wiki,628075,367117,366765,0.7803,0.8044,0.6,1,0.8837,0.7764,0.0021,0.8119,1.1383,1.0885
wiki,628075,367117,366765,0.7803,0.8044,0.6,2,1.0629,0.7762,0.0018,0.7775,1.3693,1.367
wiki,628075,367117,366765,0.7803,0.8044,0.6,3,1.0749,0.776,0.0018,0.774,1.3851,1.3888
wiki,628075,367117,366765,0.7803,0.8044,0.6,4,0.9981,0.7759,0.0028,0.778,1.2863,1.2829
wiki,628075,367117,366765,0.7803,0.8044,0.6,5,0.9877,0.7749,0.0022,0.7775,1.2745,1.2703
wiki,628075,367117,366765,0.7803,0.8044,0.6,6,0.9718,0.7759,0.0015,0.7794,1.2525,1.2469
wiki,628075,367117,366765,0.7803,0.8044,0.6,7,0.9526,0.7764,0.0024,0.7804,1.2268,1.2207
wiki,628075,367117,366765,0.7803,0.8044,0.6,8,0.9461,0.7773,0.002,0.7678,1.2171,1.2322
wiki,628075,367117,366765,0.7803,0.8044,0.6,9,0.936,0.7761,0.0027,0.7757,1.206,1.2065
wiki,628075,367117,366765,0.7803,0.8044,0.6,10,0.9084,0.7756,0.0023,0.7863,1.1713,1.1554
wiki,628075,367117,366765,0.7803,0.8044,0.6,11,0.9082,0.7748,0.0017,0.7786,1.1721,1.1665
wiki,628075,367117,366765,0.7803,0.8044,0.6,12,0.8824,0.7752,0.0022,0.7738,1.1383,1.1403
wiki,628075,367117,366765,0.7803,0.8044,0.6,13,0.9055,0.7751,0.0022,0.7779,1.1683,1.164
wiki,628075,367117,366765,0.7803,0.8044,0.6,14,0.8978,0.7752,0.0026,0.7763,1.1581,1.1566
wiki,628075,367117,366765,0.7803,0.8044,0.6,15,0.9012,0.7762,0.0015,0.7728,1.1611,1.1662
wiki,628075,367117,366765,0.7803,0.8044,0.6,16,0.8717,0.7759,0.0015,0.7792,1.1235,1.1187
wiki,628075,367117,366765,0.7803,0.8044,0.6,17,0.8763,0.7753,0.0021,0.7757,1.1303,1.1296
wiki,628075,367117,366765,0.7803,0.8044,0.6,18,0.8755,0.7757,0.0021,0.7758,1.1287,1.1285
wiki,628075,367117,366765,0.7803,0.8044,0.6,19,0.879,0.775,0.0022,0.7727,1.1342,1.1376
