file,k,M_filtered,alpha_text,alpha0_text,dfa_orig,dfa_fgn,dfa_surr_mean,dfa_surr_std
THE_ANALYSIS_OF_MIND.txt,1,30449,0.7349,0.7581,0.6556,0.508,0.4991,0.0138
THE_ANALYSIS_OF_MIND.txt,2,30449,0.7349,0.7581,0.701,0.511,0.4917,0.0147
THE_ANALYSIS_OF_MIND.txt,3,30449,0.7349,0.7581,0.6257,0.4987,0.4951,0.0143
THE_ANALYSIS_OF_MIND.txt,4,30449,0.7349,0.7581,0.6859,0.5324,0.5082,0.0175
THE_ANALYSIS_OF_MIND.txt,5,30449,0.7349,0.7581,0.7217,0.5086,0.5051,0.0145
THE_ANALYSIS_OF_MIND.txt,6,30449,0.7349,0.7581,0.7171,0.5009,0.5054,0.0172
THE_ANALYSIS_OF_MIND.txt,7,30449,0.7349,0.7581,0.6907,0.5095,0.4987,0.0132
THE_ANALYSIS_OF_MIND.txt,8,30449,0.7349,0.7581,0.6894,0.5105,0.5071,0.0203
THE_ANALYSIS_OF_MIND.txt,9,30449,0.7349,0.7581,0.6507,0.5217,0.5063,0.0142
THE_ANALYSIS_OF_MIND.txt,10,30449,0.7349,0.7581,0.7162,0.4887,0.5043,0.0179
THE_ANALYSIS_OF_MIND.txt,11,30449,0.7349,0.7581,0.6487,0.5162,0.4938,0.0166
THE_ANALYSIS_OF_MIND.txt,12,30449,0.7349,0.7581,0.6455,0.4947,0.5044,0.0121
THE_ANALYSIS_OF_MIND.txt,13,30449,0.7349,0.7581,0.6986,0.5308,0.5024,0.0085
THE_ANALYSIS_OF_MIND.txt,14,30449,0.7349,0.7581,0.6095,0.4705,0.4976,0.0164
THE_ANALYSIS_OF_MIND.txt,15,30449,0.7349,0.7581,0.653,0.5047,0.5052,0.0074
THE_ANALYSIS_OF_MIND.txt,16,30449,0.7349,0.7581,0.5941,0.4837,0.4978,0.0101
THE_ANALYSIS_OF_MIND.txt,17,30449,0.7349,0.7581,0.6264,0.5016,0.5032,0.0212
THE_ANALYSIS_OF_MIND.txt,18,30449,0.7349,0.7581,0.6266,0.4958,0.5059,0.0129
THE_ANALYSIS_OF_MIND.txt,19,30449,0.7349,0.7581,0.6924,0.4933,0.4977,0.0159
THE_ANALYSIS_OF_MIND.txt,20,30449,0.7349,0.7581,0.6541,0.4985,0.4881,0.0188
darwin_beagle.txt,1,84931,0.6222,0.6656,0.7316,0.4888,0.4946,0.0216
darwin_beagle.txt,2,84931,0.6222,0.6656,0.7053,0.4925,0.5089,0.0105
darwin_beagle.txt,3,84931,0.6222,0.6656,0.7413,0.5067,0.4998,0.0144
darwin_beagle.txt,4,84931,0.6222,0.6656,0.7466,0.5057,0.4998,0.0112
darwin_beagle.txt,5,84931,0.6222,0.6656,0.7434,0.5206,0.5038,0.0144
darwin_beagle.txt,6,84931,0.6222,0.6656,0.6706,0.5006,0.5052,0.0141
darwin_beagle.txt,7,84931,0.6222,0.6656,0.6539,0.5131,0.4997,0.0117
darwin_beagle.txt,8,84931,0.6222,0.6656,0.6498,0.4943,0.4993,0.0108
