file,N_all,N_filt,M_filtered,alpha,alpha0,q,k,B_orig,B_surr_mean,B_surr_std,B_fgn,orig_surr,orig_fgn
PG1257_text.txt,227491,83160,82596,0.727,0.7813,0.6,1,0.8284,0.7749,0.0041,0.7822,1.0691,1.059
PG1257_text.txt,227491,83160,82596,0.727,0.7813,0.6,2,0.9831,0.7769,0.0044,0.7775,1.2654,1.2644
PG1257_text.txt,227491,83160,82596,0.727,0.7813,0.6,3,0.8659,0.7768,0.004,0.7839,1.1147,1.1046
PG1257_text.txt,227491,83160,82596,0.727,0.7813,0.6,4,0.9356,0.7738,0.0029,0.781,1.2092,1.198
PG1257_text.txt,227491,83160,82596,0.727,0.7813,0.6,5,0.8716,0.7754,0.0043,0.7762,1.124,1.1229
PG1257_text.txt,227491,83160,82596,0.727,0.7813,0.6,6,0.8838,0.7723,0.0048,0.772,1.1444,1.1449
PG1257_text.txt,227491,83160,82596,0.727,0.7813,0.6,7,0.8548,0.7738,0.0038,0.7729,1.1047,1.106
PG1257_text.txt,227491,83160,82596,0.727,0.7813,0.6,8,0.8967,0.7755,0.0048,0.777,1.1564,1.154
PG1257_text.txt,227491,83160,82596,0.727,0.7813,0.6,9,0.8766,0.7745,0.0043,0.7686,1.1318,1.1404
PG1257_text.txt,227491,83160,82596,0.727,0.7813,0.6,10,0.8473,0.7755,0.0035,0.7816,1.0926,1.0841
PG1257_text.txt,227491,83160,82596,0.727,0.7813,0.6,11,0.8597,0.7742,0.0037,0.7751,1.1105,1.1092
PG1257_text.txt,227491,83160,82596,0.727,0.7813,0.6,12,0.8276,0.775,0.0037,0.7684,1.0679,1.0771
PG1257_text.txt,227491,83160,82596,0.727,0.7813,0.6,13,0.8335,0.7748,0.0043,0.7684,1.0757,1.0847
PG1257_text.txt,227491,83160,82596,0.727,0.7813,0.6,14,0.833,0.7772,0.0048,0.7774,1.0719,1.0716
PG1257_text.txt,227491,83160,82596,0.727,0.7813,0.6,15,0.8443,0.7744,0.0049,0.777,1.0903,1.0866
PG1257_text.txt,227491,83160,82596,0.727,0.7813,0.6,16,0.8402,0.7755,0.0031,0.7724,1.0833,1.0878
PG1257_text.txt,227491,83160,82596,0.727,0.7813,0.6,17,0.8314,0.7715,0.0039,0.7799,1.0777,1.066
