file,k,M_filtered,alpha_text,alpha0_text,dfa_orig,dfa_fgn,dfa_surr_mean,dfa_surr_std
PG1257_text.txt,1,82596,0.727,0.7813,0.6184,0.56,0.4992,0.0166
PG1257_text.txt,2,82596,0.727,0.7813,0.7309,0.515,0.5007,0.017
PG1257_text.txt,3,82596,0.727,0.7813,0.6975,0.5225,0.5046,0.0084
PG1257_text.txt,4,82596,0.727,0.7813,0.7311,0.5163,0.4951,0.0103
PG1257_text.txt,5,82596,0.727,0.7813,0.6678,0.5038,0.4916,0.0115
PG1257_text.txt,6,82596,0.727,0.7813,0.6608,0.5116,0.4924,0.0123
PG1257_text.txt,7,82596,0.727,0.7813,0.5952,0.5106,0.499,0.0126
PG1257_text.txt,8,82596,0.727,0.7813,0.7199,0.4958,0.5038,0.0111
PG1257_text.txt,9,82596,0.727,0.7813,0.6937,0.4907,0.4964,0.015
PG1257_text.txt,10,82596,0.727,0.7813,0.6317,0.4965,0.4962,0.0159
PG1257_text.txt,11,82596,0.727,0.7813,0.6151,0.5054,0.5067,0.0129
PG1257_text.txt,12,82596,0.727,0.7813,0.6408,0.4893,0.4946,0.0114
PG1257_text.txt,13,82596,0.727,0.7813,0.6103,0.502,0.4988,0.0105
PG1257_text.txt,14,82596,0.727,0.7813,0.6545,0.5018,0.4976,0.0154
PG1257_text.txt,15,82596,0.727,0.7813,0.6276,0.5001,0.4964,0.0093
PG1257_text.txt,16,82596,0.727,0.7813,0.6333,0.4769,0.5014,0.0158
PG1257_text.txt,17,82596,0.727,0.7813,0.6558,0.4767,0.4961,0.0137
PG1257_text.txt,18,82596,0.727,0.7813,0.6249,0.5036,0.4939,0.0115
PG1257_text.txt,19,82596,0.727,0.7813,0.6624,0.518,0.497,0.0098
PG1257_text.txt,20,82596,0.727,0.7813,0.6321,0.4934,0.5065,0.0116
PG1290_text.txt,1,36702,0.6506,0.6656,0.6293,0.4661,0.5026,0.0092
PG1290_text.txt,2,36702,0.6506,0.6656,0.714,0.4891,0.4945,0.0152
PG1290_text.txt,3,36702,0.6506,0.6656,0.7447,0.4835,0.4986,0.0164
PG1290_text.txt,4,36702,0.6506,0.6656,0.6274,0.4695,0.4934,0.0119
PG1290_text.txt,5,36702,0.6506,0.6656,0.6362,0.4863,0.4998,0.0148
PG1290_text.txt,6,36702,0.6506,0.6656,0.6602,0.5031,0.5046,0.0178
PG1290_text.txt,7,36702,0.6506,0.6656,0.6972,0.4822,0.4984,0.0107
PG1290_text.txt,8,36702,0.6506,0.6656,0.6166,0.4979,0.4967,0.0202
PG1290_text.txt,9,36702,0.6506,0.6656,0.6236,0.5023,0.5008,0.0116
PG1290_text.txt,10,36702,0.6506,0.6656,0.6261,0.4986,0.5001,0.0135
PG1290_text.txt,11,36702,0.6506,0.6656,0.5788,0.5134,0.4948,0.0104
PG1290_text.txt,12,36702,0.6506,0.6656,0.6517,0.4924,0.4966,0.0106
PG1290_text.txt,13,36702,0.6506,0.6656,0.6051,0.5114,0.5001,0.018
PG1290_text.txt,14,36702,0.6506,0.6656,0.6144,0.5045,0.4994,0.0141
PG1290_text.txt,15,36702,0.6506,0.6656,0.5875,0.4968,0.4957,0.0147
PG1290_text.txt,16,36702,0.6506,0.6656,0.574,0.4932,0.5067,0.0133
PG1290_text.txt,17,36702,0.6506,0.6656,0.5801,0.4686,0.4899,0.0185
PG1290_text.txt,18,36702,0.6506,0.6656,0.6094,0.4903,0.5073,0.0094
PG1290_text.txt,19,36702,0.6506,0.6656,0.5487,0.5186,0.4985,0.0177
PG1290_text.txt,20,36702,0.6506,0.6656,0.5812,0.4796,0.5027,0.0205
PG133_text.txt,1,39014,0.6894,0.7119,0.666,0.5427,0.5045,0.0166
PG133_text.txt,2,39014,0.6894,0.7119,0.7262,0.5139,0.5025,0.0148
PG133_text.txt,3,39014,0.6894,0.7119,0.6858,0.4955,0.4952,0.0134
PG133_text.txt,4,39014,0.6894,0.7119,0.7055,0.5052,0.5033,0.017
PG133_text.txt,5,39014,0.6894,0.7119,0.6601,0.495,0.4998,0.0185
PG133_text.txt,6,39014,0.6894,0.7119,0.6107,0.4805,0.4951,0.012
PG133_text.txt,7,39014,0.6894,0.7119,0.6165,0.4688,0.4981,0.0132
PG133_text.txt,8,39014,0.6894,0.7119,0.6447,0.4738,0.4981,0.0128
PG133_text.txt,9,39014,0.6894,0.7119,0.6635,0.4893,0.5025,0.0162
PG133_text.txt,10,39014,0.6894,0.7119,0.6458,0.5082,0.5033,0.0092
PG133_text.txt,11,39014,0.6894,0.7119,0.6052,0.4984,0.4991,0.0119
PG133_text.txt,12,39014,0.6894,0.7119,0.5915,0.52,0.488,0.0147
PG133_text.txt,13,39014,0.6894,0.7119,0.5993,0.4909,0.4931,0.0157
PG133_text.txt,14,39014,0.6894,0.7119,0.5969,0.5048,0.4921,0.0101
PG133_text.txt,15,39014,0.6894,0.7119,0.6068,0.4926,0.499,0.0161
PG133_text.txt,16,39014,0.6894,0.7119,0.5825,0.474,0.4967,0.0137
PG133_text.txt,17,39014,0.6894,0.7119,0.6088,0.4819,0.4984,0.0248
PG133_text.txt,18,39014,0.6894,0.7119,0.5901,0.5071,0.4994,0.0116
PG133_text.txt,19,39014,0.6894,0.7119,0.5643,0.5019,0.5021,0.015
PG133_text.txt,20,39014,0.6894,0.7119,0.6083,0.5113,0.5105,0.0183
PG135_text.txt,1,224736,0.7721,0.8044,0.673,0.6073,0.493,0.0126
PG135_text.txt,2,224736,0.7721,0.8044,0.791,0.4947,0.4949,0.0098
PG135_text.txt,3,224736,0.7721,0.8044,0.7961,0.5087,0.4997,0.0119
PG135_text.txt,4,224736,0.7721,0.8044,0.7703,0.5371,0.4932,0.0129
PG135_text.txt,5,224736,0.7721,0.8044,0.7621,0.5068,0.5009,0.0098
PG135_text.txt,6,224736,0.7721,0.8044,0.74,0.4939,0.497,0.0118
PG135_text.txt,7,224736,0.7721,0.8044,0.7085,0.4883,0.5007,0.0133
PG135_text.txt,8,224736,0.7721,0.8044,0.6969,0.4999,0.4981,0.0083
