file,k,M_filtered,alpha_text,alpha0_text,dfa_orig,dfa_fgn,dfa_surr_mean,dfa_surr_std
PG1257_text.txt,1,82596,0.727,0.7813,0.6184,0.56,0.4992,0.0166
PG1257_text.txt,2,82596,0.727,0.7813,0.7309,0.515,0.5007,0.017
PG1257_text.txt,3,82596,0.727,0.7813,0.6975,0.5225,0.5046,0.0084
PG1257_text.txt,4,82596,0.727,0.7813,0.7311,0.5163,0.4951,0.0103
PG1257_text.txt,5,82596,0.727,0.7813,0.6678,0.5038,0.4916,0.0115
PG1257_text.txt,6,82596,0.727,0.7813,0.6608,0.5116,0.4924,0.0123
PG1257_text.txt,7,82596,0.727,0.7813,0.5952,0.5106,0.499,0.0126
PG1257_text.txt,8,82596,0.727,0.7813,0.7199,0.4958,0.5038,0.0111
PG1257_text.txt,9,82596,0.727,0.7813,0.6937,0.4907,0.4964,0.015
PG1257_text.txt,10,82596,0.727,0.7813,0.6317,0.4965,0.4962,0.0159
PG1257_text.txt,11,82596,0.727,0.7813,0.6151,0.5054,0.5067,0.0129
PG1257_text.txt,12,82596,0.727,0.7813,0.6408,0.4893,0.4946,0.0114
PG1257_text.txt,13,82596,0.727,0.7813,0.6103,0.502,0.4988,0.0105
PG1257_text.txt,14,82596,0.727,0.7813,0.6545,0.5018,0.4976,0.0154
PG1257_text.txt,15,82596,0.727,0.7813,0.6276,0.5001,0.4964,0.0093
PG1257_text.txt,16,82596,0.727,0.7813,0.6333,0.4769,0.5014,0.0158
PG1257_text.txt,17,82596,0.727,0.7813,0.6558,0.4767,0.4961,0.0137
PG1257_text.txt,18,82596,0.727,0.7813,0.6249,0.5036,0.4939,0.0115
PG1257_text.txt,19,82596,0.727,0.7813,0.6624,0.518,0.497,0.0098
PG1257_text.txt,20,82596,0.727,0.7813,0.6321,0.4934,0.5065,0.0116
