file,M_filtered,alpha,k,lag,rho_orig,rho_fgn,rho_surr,ci_95,orig_sig,fgn_sig,surr_sig
PG133_text.txt,39014,0.6894,1,1,0.09054,-0.0001,0.00023,0.00992,1,0,0
PG133_text.txt,39014,0.6894,1,2,0.04778,-0.00224,0.00973,0.00992,1,0,0
PG133_text.txt,39014,0.6894,1,5,0.02936,0.00148,0.005,0.00992,1,0,0
PG133_text.txt,39014,0.6894,1,10,0.02606,0.0019,0.00368,0.00992,1,0,0
PG133_text.txt,39014,0.6894,1,20,0.01002,-0.00438,0.00179,0.00992,1,0,0
PG133_text.txt,39014,0.6894,1,50,0.01211,-0.00043,-0.01284,0.00992,1,0,1
PG133_text.txt,39014,0.6894,1,100,0.00011,0.00444,-0.0064,0.00992,0,0,0
PG133_text.txt,39014,0.6894,1,200,0.00019,-0.00069,-0.0022,0.00992,0,0,0
PG133_text.txt,39014,0.6894,1,300,-0.0028,-0.00167,-0.00372,0.00992,0,0,0
PG133_text.txt,39014,0.6894,2,1,0.21047,-0.00587,0.00427,0.00992,1,0,0
PG133_text.txt,39014,0.6894,2,2,0.12415,-0.00187,-0.00185,0.00992,1,0,0
PG133_text.txt,39014,0.6894,2,5,0.07984,-0.00064,-0.0051,0.00992,1,0,0
PG133_text.txt,39014,0.6894,2,10,0.06362,0.00399,-0.00405,0.00992,1,0,0
PG133_text.txt,39014,0.6894,2,20,0.03932,-0.00056,0.00676,0.00992,1,0,0
PG133_text.txt,39014,0.6894,2,50,0.04003,0.00687,0.00056,0.00992,1,0,0
PG133_text.txt,39014,0.6894,2,100,0.02588,-0.00049,0.00135,0.00992,1,0,0
PG133_text.txt,39014,0.6894,2,200,0.01529,0.00057,-0.00417,0.00992,1,0,0
PG133_text.txt,39014,0.6894,2,300,0.00308,-0.00779,0.00058,0.00992,0,0,0
PG133_text.txt,39014,0.6894,3,1,0.12562,0.0042,0.00401,0.00992,1,0,0
PG133_text.txt,39014,0.6894,3,2,0.07654,-0.0053,0.006,0.00992,1,0,0
PG133_text.txt,39014,0.6894,3,5,0.05387,0.00873,-0.00128,0.00992,1,0,0
PG133_text.txt,39014,0.6894,3,10,0.02928,-0.00538,0.00091,0.00992,1,0,0
PG133_text.txt,39014,0.6894,3,20,0.03429,0.0081,-0.00286,0.00992,1,0,0
