file,N_all,N_filt,M_filtered,alpha,alpha0,q,k,B_orig,B_surr_mean,B_surr_std,B_fgn,orig_surr,orig_fgn
PG2529_text.txt,88343,30495,30450,0.7428,0.7581,0.6,1,0.9388,0.7766,0.0088,0.7902,1.2089,1.1881
PG2529_text.txt,88343,30495,30450,0.7428,0.7581,0.6,2,0.8661,0.7752,0.0061,0.7778,1.1173,1.1136
PG2529_text.txt,88343,30495,30450,0.7428,0.7581,0.6,3,0.8879,0.773,0.0067,0.774,1.1487,1.1472
PG2529_text.txt,88343,30495,30450,0.7428,0.7581,0.6,4,0.8715,0.7736,0.0063,0.773,1.1266,1.1275
PG2529_text.txt,88343,30495,30450,0.7428,0.7581,0.6,5,0.8897,0.7781,0.0071,0.7693,1.1433,1.1565
PG2529_text.txt,88343,30495,30450,0.7428,0.7581,0.6,6,0.8607,0.7765,0.0067,0.7917,1.1084,1.0871
PG2529_text.txt,88343,30495,30450,0.7428,0.7581,0.6,7,0.8614,0.7749,0.0066,0.7745,1.1115,1.1122
PG2529_text.txt,88343,30495,30450,0.7428,0.7581,0.6,8,0.819,0.7731,0.0053,0.7768,1.0594,1.0543
PG2529_text.txt,88343,30495,30450,0.7428,0.7581,0.6,9,0.8588,0.7787,0.0069,0.7873,1.1028,1.0908
PG2529_text.txt,88343,30495,30450,0.7428,0.7581,0.6,10,0.8538,0.7718,0.0059,0.7763,1.1063,1.0999
PG2529_text.txt,88343,30495,30450,0.7428,0.7581,0.6,11,0.8459,0.7754,0.006,0.7728,1.0909,1.0945
PG2529_text.txt,88343,30495,30450,0.7428,0.7581,0.6,12,0.8432,0.7721,0.0063,0.7729,1.0921,1.0909
PG2529_text.txt,88343,30495,30450,0.7428,0.7581,0.6,13,0.8448,0.7729,0.0055,0.7756,1.0929,1.0892
PG2529_text.txt,88343,30495,30450,0.7428,0.7581,0.6,14,0.825,0.773,0.0081,0.7791,1.0672,1.0589
PG2529_text.txt,88343,30495,30450,0.7428,0.7581,0.6,15,0.8224,0.7773,0.0074,0.7789,1.058,1.0558
PG2529_text.txt,88343,30495,30450,0.7428,0.7581,0.6,16,0.84,0.7753,0.0075,0.778,1.0835,1.0798
PG2529_text.txt,88343,30495,30450,0.7428,0.7581,0.6,17,0.8303,0.7737,0.0088,0.7758,1.0732,1.0703
PG2529_text.txt,88343,30495,30450,0.7428,0.7581,0.6,18,0.8131,0.7758,0.0055,0.7691,1.0481,1.0572
PG2529_text.txt,88343,30495,30450,0.7428,0.7581,0.6,19,0.8254,0.7789,0.0058,0.7953,1.0597,1.0379
PG2529_text.txt,88343,30495,30450,0.7428,0.7581,0.6,20,0.8342,0.7756,0.0085,0.7742,1.0755,1.0775
PG2529_text.txt,88343,30495,30450,0.7428,0.7581,0.7,1,1.0065,0.8398,0.0112,0.8481,1.1986,1.1868
PG2529_text.txt,88343,30495,30450,0.7428,0.7581,0.7,2,0.9475,0.8422,0.0102,0.8372,1.125,1.1317
PG2529_text.txt,88343,30495,30450,0.7428,0.7581,0.7,3,0.9676,0.8367,0.0089,0.8382,1.1565,1.1545
PG2529_text.txt,88343,30495,30450,0.7428,0.7581,0.7,4,0.9803,0.8381,0.0073,0.8391,1.1697,1.1683
PG2529_text.txt,88343,30495,30450,0.7428,0.7581,0.7,5,0.9632,0.8396,0.0057,0.8341,1.1472,1.1547
PG2529_text.txt,88343,30495,30450,0.7428,0.7581,0.7,6,0.9558,0.8415,0.0066,0.864,1.1359,1.1062
PG2529_text.txt,88343,30495,30450,0.7428,0.7581,0.7,7,0.955,0.8413,0.0091,0.8305,1.1352,1.15
PG2529_text.txt,88343,30495,30450,0.7428,0.7581,0.7,8,0.8912,0.8382,0.0078,0.8385,1.0633,1.0629
PG2529_text.txt,88343,30495,30450,0.7428,0.7581,0.7,9,0.9486,0.8404,0.0074,0.8346,1.1287,1.1366
PG2529_text.txt,88343,30495,30450,0.7428,0.7581,0.7,10,0.9271,0.8325,0.0084,0.8377,1.1137,1.1067
PG2529_text.txt,88343,30495,30450,0.7428,0.7581,0.7,11,0.916,0.8354,0.0069,0.8348,1.0965,1.0973
PG2529_text.txt,88343,30495,30450,0.7428,0.7581,0.7,12,0.9286,0.8371,0.0102,0.853,1.1093,1.0887
PG2529_text.txt,88343,30495,30450,0.7428,0.7581,0.7,13,0.9386,0.8353,0.0072,0.8287,1.1237,1.1326
PG2529_text.txt,88343,30495,30450,0.7428,0.7581,0.7,14,0.9206,0.8341,0.0101,0.8477,1.1038,1.086
PG2529_text.txt,88343,30495,30450,0.7428,0.7581,0.7,15,0.888,0.8395,0.0089,0.8406,1.0578,1.0564
PG2529_text.txt,88343,30495,30450,0.7428,0.7581,0.7,16,0.9089,0.8362,0.0054,0.8375,1.087,1.0853
PG2529_text.txt,88343,30495,30450,0.7428,0.7581,0.7,17,0.9097,0.8323,0.0108,0.8422,1.0929,1.0801
PG2529_text.txt,88343,30495,30450,0.7428,0.7581,0.7,18,0.9135,0.8372,0.0083,0.8237,1.0912,1.1091
PG2529_text.txt,88343,30495,30450,0.7428,0.7581,0.7,19,0.8917,0.8405,0.0083,0.847,1.0609,1.0529
PG2529_text.txt,88343,30495,30450,0.7428,0.7581,0.7,20,0.9233,0.8399,0.0088,0.828,1.0994,1.1152
PG2529_text.txt,88343,30495,30450,0.7428,0.7581,0.8,1,1.1131,0.8991,0.0109,0.8869,1.238,1.2551
PG2529_text.txt,88343,30495,30450,0.7428,0.7581,0.8,2,1.0653,0.8975,0.013,0.8956,1.187,1.1894
PG2529_text.txt,88343,30495,30450,0.7428,0.7581,0.8,3,1.1008,0.8958,0.0134,0.8993,1.2288,1.224
PG2529_text.txt,88343,30495,30450,0.7428,0.7581,0.8,4,1.0502,0.8939,0.0115,0.8865,1.1748,1.1847
PG2529_text.txt,88343,30495,30450,0.7428,0.7581,0.8,5,1.0948,0.8932,0.0109,0.8823,1.2257,1.2408
PG2529_text.txt,88343,30495,30450,0.7428,0.7581,0.8,6,1.0618,0.8981,0.0095,0.9276,1.1823,1.1447
PG2529_text.txt,88343,30495,30450,0.7428,0.7581,0.8,7,1.0453,0.8984,0.0102,0.8877,1.1635,1.1775
PG2529_text.txt,88343,30495,30450,0.7428,0.7581,0.8,8,0.9901,0.8968,0.0128,0.8827,1.104,1.1217
PG2529_text.txt,88343,30495,30450,0.7428,0.7581,0.8,9,1.0365,0.895,0.0069,0.9063,1.1581,1.1436
PG2529_text.txt,88343,30495,30450,0.7428,0.7581,0.8,10,1.0015,0.8907,0.0098,0.8831,1.1244,1.1341
PG2529_text.txt,88343,30495,30450,0.7428,0.7581,0.8,11,0.9953,0.8954,0.0131,0.8886,1.1115,1.12
PG2529_text.txt,88343,30495,30450,0.7428,0.7581,0.8,12,1.0268,0.8963,0.0091,0.9076,1.1456,1.1313
PG2529_text.txt,88343,30495,30450,0.7428,0.7581,0.8,13,1.038,0.8929,0.0105,0.8768,1.1624,1.1839
PG2529_text.txt,88343,30495,30450,0.7428,0.7581,0.8,14,1.039,0.8959,0.0093,0.8897,1.1597,1.1678
PG2529_text.txt,88343,30495,30450,0.7428,0.7581,0.8,15,0.9793,0.893,0.0094,0.8997,1.0967,1.0885
PG2529_text.txt,88343,30495,30450,0.7428,0.7581,0.8,16,0.9859,0.8923,0.0077,0.9112,1.1049,1.082
PG2529_text.txt,88343,30495,30450,0.7428,0.7581,0.8,17,1.0075,0.8916,0.0118,0.9113,1.13,1.1055
