file,M_filtered,alpha,k,lag,rho_orig,rho_fgn,rho_surr,ci_95,orig_sig,fgn_sig,surr_sig
PG27942_text.txt,155035,0.7791,1,1,0.06887,0.01686,-0.00159,0.00498,1,1,0
PG27942_text.txt,155035,0.7791,1,2,0.0425,0.00988,0.0027,0.00498,1,1,0
PG27942_text.txt,155035,0.7791,1,5,0.03494,0.0032,-0.00138,0.00498,1,0,0
PG27942_text.txt,155035,0.7791,1,10,0.02666,0.00169,0.00097,0.00498,1,0,0
PG27942_text.txt,155035,0.7791,1,20,0.01989,0.00353,0.00425,0.00498,1,0,0
PG27942_text.txt,155035,0.7791,1,50,0.01425,-0.00074,2e-05,0.00498,1,0,0
PG27942_text.txt,155035,0.7791,1,100,0.01429,-0.00116,0.00109,0.00498,1,0,0
PG27942_text.txt,155035,0.7791,1,200,0.00709,0.00263,0.00451,0.00498,1,0,0
PG27942_text.txt,155035,0.7791,1,300,0.00289,0.00541,0.00232,0.00498,0,1,0
PG27942_text.txt,155035,0.7791,2,1,0.14612,0.00299,0.00319,0.00498,1,0,0
PG27942_text.txt,155035,0.7791,2,2,0.09825,0.00197,-0.00194,0.00498,1,0,0
PG27942_text.txt,155035,0.7791,2,5,0.07972,0.00088,3e-05,0.00498,1,0,0
PG27942_text.txt,155035,0.7791,2,10,0.07135,0.00056,-0.00043,0.00498,1,0,0
PG27942_text.txt,155035,0.7791,2,20,0.05946,-0.00011,0.00327,0.00498,1,0,0
PG27942_text.txt,155035,0.7791,2,50,0.03988,-0.00038,0.00079,0.00498,1,0,0
PG27942_text.txt,155035,0.7791,2,100,0.03343,0.00288,-0.00594,0.00498,1,0,1
PG27942_text.txt,155035,0.7791,2,200,0.02587,0.00097,-0.00413,0.00498,1,0,0
PG27942_text.txt,155035,0.7791,2,300,0.02282,-0.0009,0.00417,0.00498,1,0,0
PG27942_text.txt,155035,0.7791,3,1,0.12539,0.02454,-0.00253,0.00498,1,1,0
PG27942_text.txt,155035,0.7791,3,2,0.08108,0.01584,-0.00282,0.00498,1,1,0
PG27942_text.txt,155035,0.7791,3,5,0.06147,0.0089,-0.0014,0.00498,1,1,0
PG27942_text.txt,155035,0.7791,3,10,0.05455,0.00405,0.00358,0.00498,1,0,0
PG27942_text.txt,155035,0.7791,3,20,0.04059,0.00326,-0.00483,0.00498,1,0,0
PG27942_text.txt,155035,0.7791,3,50,0.02743,0.00461,0.00106,0.00498,1,0,0
PG27942_text.txt,155035,0.7791,3,100,0.02298,0.00476,-0.00087,0.00498,1,0,0
PG27942_text.txt,155035,0.7791,3,200,0.01346,0.00036,-0.00506,0.00498,1,0,1
PG27942_text.txt,155035,0.7791,3,300,0.01149,0.00046,-0.00093,0.00498,1,0,0
PG27942_text.txt,155035,0.7791,4,1,0.07793,0.00355,-0.0017,0.00498,1,0,0
PG27942_text.txt,155035,0.7791,4,2,0.06467,0.00261,-0.0012,0.00498,1,0,0
PG27942_text.txt,155035,0.7791,4,5,0.05487,-0.00188,0.00053,0.00498,1,0,0
PG27942_text.txt,155035,0.7791,4,10,0.04447,-0.00365,-0.00165,0.00498,1,0,0
PG27942_text.txt,155035,0.7791,4,20,0.03843,0.0009,0.00061,0.00498,1,0,0
PG27942_text.txt,155035,0.7791,4,50,0.03087,-0.00315,0.00162,0.00498,1,0,0
PG27942_text.txt,155035,0.7791,4,100,0.02311,0.00203,-0.00429,0.00498,1,0,0
PG27942_text.txt,155035,0.7791,4,200,0.01885,-0.00305,-0.00073,0.00498,1,0,0
PG27942_text.txt,155035,0.7791,4,300,0.01558,-0.00267,0.00232,0.00498,1,0,0
PG27942_text.txt,155035,0.7791,5,1,0.13825,0.00313,-0.00152,0.00498,1,0,0
PG27942_text.txt,155035,0.7791,5,2,0.10069,0.00521,0.00013,0.00498,1,1,0
PG27942_text.txt,155035,0.7791,5,5,0.08518,0.00301,0.00287,0.00498,1,0,0
PG27942_text.txt,155035,0.7791,5,10,0.07012,0.00223,0.00049,0.00498,1,0,0
PG27942_text.txt,155035,0.7791,5,20,0.05815,-0.00266,0.00195,0.00498,1,0,0
PG27942_text.txt,155035,0.7791,5,50,0.04456,-0.0007,0.00236,0.00498,1,0,0
PG27942_text.txt,155035,0.7791,5,100,0.03959,0.00141,-0.00358,0.00498,1,0,0
PG27942_text.txt,155035,0.7791,5,200,0.03565,0.00206,-0.0021,0.00498,1,0,0
PG27942_text.txt,155035,0.7791,5,300,0.03092,-0.0036,-0.00242,0.00498,1,0,0
PG27942_text.txt,155035,0.7791,6,1,0.13594,0.00325,0.0014,0.00498,1,0,0
PG27942_text.txt,155035,0.7791,6,2,0.08225,-0.00278,-0.00747,0.00498,1,0,1
PG27942_text.txt,155035,0.7791,6,5,0.06411,0.00046,0.00029,0.00498,1,0,0
PG27942_text.txt,155035,0.7791,6,10,0.05394,0.00082,0.002,0.00498,1,0,0
PG27942_text.txt,155035,0.7791,6,20,0.04337,0.0025,0.00152,0.00498,1,0,0
PG27942_text.txt,155035,0.7791,6,50,0.02665,0.00107,0.00368,0.00498,1,0,0
