file,N_all,N_filt,M_filtered,alpha,alpha0,q,k,B_orig,B_surr_mean,B_surr_std,B_fgn,orig_surr,orig_fgn
PG27942_text.txt,403954,155771,155035,0.7791,0.8275,0.6,1,0.871,0.7747,0.0028,0.7904,1.1243,1.1019
PG27942_text.txt,403954,155771,155035,0.7791,0.8275,0.6,2,0.9301,0.775,0.0036,0.7755,1.2001,1.1993
PG27942_text.txt,403954,155771,155035,0.7791,0.8275,0.6,3,0.8662,0.7749,0.0033,0.7971,1.1177,1.0866
PG27942_text.txt,403954,155771,155035,0.7791,0.8275,0.6,4,0.8714,0.7741,0.0032,0.7781,1.1257,1.1199
PG27942_text.txt,403954,155771,155035,0.7791,0.8275,0.6,5,0.9061,0.7748,0.0032,0.7813,1.1695,1.1597
PG27942_text.txt,403954,155771,155035,0.7791,0.8275,0.6,6,0.8823,0.7739,0.0027,0.778,1.14,1.134
PG27942_text.txt,403954,155771,155035,0.7791,0.8275,0.6,7,0.8803,0.7741,0.0025,0.7727,1.1372,1.1392
PG27942_text.txt,403954,155771,155035,0.7791,0.8275,0.6,8,0.8834,0.7752,0.004,0.7779,1.1395,1.1356
PG27942_text.txt,403954,155771,155035,0.7791,0.8275,0.6,9,0.8617,0.7767,0.0032,0.7759,1.1095,1.1106
PG27942_text.txt,403954,155771,155035,0.7791,0.8275,0.6,10,0.8659,0.7741,0.0028,0.7763,1.1187,1.1155
PG27942_text.txt,403954,155771,155035,0.7791,0.8275,0.6,11,0.8597,0.7747,0.0034,0.7752,1.1098,1.109
PG27942_text.txt,403954,155771,155035,0.7791,0.8275,0.6,12,0.8582,0.775,0.0031,0.7728,1.1074,1.1105
PG27942_text.txt,403954,155771,155035,0.7791,0.8275,0.6,13,0.8672,0.7737,0.0028,0.7773,1.1209,1.1156
PG27942_text.txt,403954,155771,155035,0.7791,0.8275,0.6,14,0.8336,0.7738,0.0038,0.7784,1.0772,1.0709
PG27942_text.txt,403954,155771,155035,0.7791,0.8275,0.6,15,0.8556,0.7736,0.0035,0.7703,1.106,1.1108
PG27942_text.txt,403954,155771,155035,0.7791,0.8275,0.6,16,0.8468,0.7747,0.0032,0.7738,1.0931,1.0943
PG27942_text.txt,403954,155771,155035,0.7791,0.8275,0.6,17,0.8502,0.775,0.0028,0.7754,1.097,1.0965
PG27942_text.txt,403954,155771,155035,0.7791,0.8275,0.6,18,0.8773,0.7755,0.0029,0.7763,1.1312,1.1301
PG27942_text.txt,403954,155771,155035,0.7791,0.8275,0.6,19,0.8559,0.7743,0.0033,0.7765,1.1053,1.1022
PG27942_text.txt,403954,155771,155035,0.7791,0.8275,0.6,20,0.8314,0.7759,0.0025,0.7729,1.0715,1.0757
PG27942_text.txt,403954,155771,155035,0.7791,0.8275,0.7,1,0.9512,0.8361,0.0035,0.8587,1.1376,1.1077
PG27942_text.txt,403954,155771,155035,0.7791,0.8275,0.7,2,1.0215,0.8371,0.0039,0.8368,1.2203,1.2207
PG27942_text.txt,403954,155771,155035,0.7791,0.8275,0.7,3,0.9652,0.8369,0.0053,0.8693,1.1533,1.1102
PG27942_text.txt,403954,155771,155035,0.7791,0.8275,0.7,4,1.0001,0.8358,0.0033,0.8412,1.1966,1.189
PG27942_text.txt,403954,155771,155035,0.7791,0.8275,0.7,5,0.9956,0.8373,0.0028,0.842,1.1891,1.1824
PG27942_text.txt,403954,155771,155035,0.7791,0.8275,0.7,6,0.9756,0.8366,0.0035,0.8426,1.1661,1.1577
PG27942_text.txt,403954,155771,155035,0.7791,0.8275,0.7,7,0.9785,0.8361,0.0039,0.8364,1.1702,1.1698
PG27942_text.txt,403954,155771,155035,0.7791,0.8275,0.7,8,0.9732,0.8372,0.0043,0.8386,1.1624,1.1605
PG27942_text.txt,403954,155771,155035,0.7791,0.8275,0.7,9,0.9491,0.8386,0.0045,0.8283,1.1318,1.1458
PG27942_text.txt,403954,155771,155035,0.7791,0.8275,0.7,10,0.945,0.8366,0.004,0.84,1.1295,1.1249
PG27942_text.txt,403954,155771,155035,0.7791,0.8275,0.7,11,0.9476,0.8359,0.0041,0.8339,1.1336,1.1364
PG27942_text.txt,403954,155771,155035,0.7791,0.8275,0.7,12,0.9371,0.8379,0.0048,0.8353,1.1183,1.1219
PG27942_text.txt,403954,155771,155035,0.7791,0.8275,0.7,13,0.9574,0.8369,0.0036,0.8351,1.144,1.1464
PG27942_text.txt,403954,155771,155035,0.7791,0.8275,0.7,14,0.9152,0.8355,0.0043,0.838,1.0954,1.0921
PG27942_text.txt,403954,155771,155035,0.7791,0.8275,0.7,15,0.9342,0.8369,0.0033,0.841,1.1163,1.1108
PG27942_text.txt,403954,155771,155035,0.7791,0.8275,0.7,16,0.9303,0.8369,0.0033,0.8367,1.1116,1.1119
PG27942_text.txt,403954,155771,155035,0.7791,0.8275,0.7,17,0.9261,0.838,0.0038,0.8344,1.1051,1.1099
PG27942_text.txt,403954,155771,155035,0.7791,0.8275,0.7,18,0.953,0.8375,0.0038,0.8363,1.1378,1.1396
PG27942_text.txt,403954,155771,155035,0.7791,0.8275,0.7,19,0.932,0.8364,0.0045,0.8382,1.1143,1.112
PG27942_text.txt,403954,155771,155035,0.7791,0.8275,0.7,20,0.923,0.8377,0.0041,0.8358,1.1019,1.1044
PG27942_text.txt,403954,155771,155035,0.7791,0.8275,0.8,1,1.0381,0.893,0.005,0.9191,1.1625,1.1295
PG27942_text.txt,403954,155771,155035,0.7791,0.8275,0.8,2,1.1308,0.8956,0.005,0.9011,1.2627,1.2549
PG27942_text.txt,403954,155771,155035,0.7791,0.8275,0.8,3,1.0721,0.8942,0.0053,0.9313,1.1989,1.1513
PG27942_text.txt,403954,155771,155035,0.7791,0.8275,0.8,4,1.1018,0.8941,0.0067,0.8944,1.2323,1.2319
PG27942_text.txt,403954,155771,155035,0.7791,0.8275,0.8,5,1.0919,0.894,0.0051,0.9051,1.2213,1.2064
PG27942_text.txt,403954,155771,155035,0.7791,0.8275,0.8,6,1.0712,0.8953,0.0044,0.8989,1.1964,1.1917
PG27942_text.txt,403954,155771,155035,0.7791,0.8275,0.8,7,1.1193,0.8938,0.005,0.9021,1.2523,1.2408
PG27942_text.txt,403954,155771,155035,0.7791,0.8275,0.8,8,1.053,0.8944,0.0042,0.8884,1.1773,1.1852
PG27942_text.txt,403954,155771,155035,0.7791,0.8275,0.8,9,1.0591,0.8955,0.0046,0.889,1.1827,1.1913
