file,k,M_filtered,alpha_text,alpha0_text,dfa_orig,dfa_fgn,dfa_surr_mean,dfa_surr_std
PG27942_text.txt,1,155035,0.7791,0.8275,0.6875,0.5905,0.4975,0.0128
PG27942_text.txt,2,155035,0.7791,0.8275,0.777,0.5273,0.495,0.0083
PG27942_text.txt,3,155035,0.7791,0.8275,0.7666,0.5863,0.499,0.0183
PG27942_text.txt,4,155035,0.7791,0.8275,0.7626,0.5108,0.5039,0.0087
PG27942_text.txt,5,155035,0.7791,0.8275,0.7551,0.5332,0.501,0.011
PG27942_text.txt,6,155035,0.7791,0.8275,0.7624,0.4952,0.503,0.0102
PG27942_text.txt,7,155035,0.7791,0.8275,0.7503,0.5034,0.4972,0.0096
PG27942_text.txt,8,155035,0.7791,0.8275,0.7926,0.5125,0.4998,0.0111
PG27942_text.txt,9,155035,0.7791,0.8275,0.705,0.492,0.4911,0.0082
PG27942_text.txt,10,155035,0.7791,0.8275,0.7144,0.5235,0.4964,0.0156
PG27942_text.txt,11,155035,0.7791,0.8275,0.736,0.5034,0.4945,0.0091
PG27942_text.txt,12,155035,0.7791,0.8275,0.6887,0.4934,0.5013,0.0146
PG27942_text.txt,13,155035,0.7791,0.8275,0.7216,0.4952,0.5044,0.0091
PG27942_text.txt,14,155035,0.7791,0.8275,0.6802,0.532,0.4938,0.0113
PG27942_text.txt,15,155035,0.7791,0.8275,0.6896,0.5038,0.4954,0.0105
PG27942_text.txt,16,155035,0.7791,0.8275,0.6994,0.4904,0.5019,0.0135
PG27942_text.txt,17,155035,0.7791,0.8275,0.6735,0.514,0.4952,0.0112
PG27942_text.txt,18,155035,0.7791,0.8275,0.7319,0.5175,0.5018,0.0155
PG27942_text.txt,19,155035,0.7791,0.8275,0.6948,0.5112,0.506,0.0144
PG27942_text.txt,20,155035,0.7791,0.8275,0.67,0.4968,0.5011,0.0102
PG32021_text.txt,1,59577,0.8425,0.9084,0.7539,0.5519,0.4958,0.0133
PG32021_text.txt,2,59577,0.8425,0.9084,0.7288,0.5793,0.4984,0.017
PG32021_text.txt,3,59577,0.8425,0.9084,0.7415,0.5269,0.4949,0.0093
PG32021_text.txt,4,59577,0.8425,0.9084,0.7216,0.4874,0.5048,0.0107
PG32021_text.txt,5,59577,0.8425,0.9084,0.7995,0.5428,0.5057,0.0154
PG32021_text.txt,6,59577,0.8425,0.9084,0.7478,0.5265,0.4946,0.0152
PG32021_text.txt,7,59577,0.8425,0.9084,0.777,0.5187,0.4971,0.0155
