file,M_filtered,alpha,k,lag,rho_orig,rho_fgn,rho_surr,ci_95,orig_sig,fgn_sig,surr_sig
PG52293_text.txt,16206,0.7596,1,1,0.21087,0.01561,0.00237,0.0154,1,1,0
PG52293_text.txt,16206,0.7596,1,2,0.1704,0.00587,-0.00612,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,1,5,0.14712,-0.0058,-0.00035,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,1,10,0.14652,-0.00262,0.00865,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,1,20,0.14109,0.01859,-0.00923,0.0154,1,1,0
PG52293_text.txt,16206,0.7596,1,50,0.13082,0.0014,-0.0057,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,1,100,0.12165,-0.01061,-0.01589,0.0154,1,0,1
PG52293_text.txt,16206,0.7596,1,200,0.11451,0.00049,-0.00626,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,1,300,0.11011,0.00346,-0.00598,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,2,1,0.38555,0.00322,-0.00327,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,2,2,0.32839,-0.01364,-0.00441,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,2,5,0.32428,-0.00287,-0.0018,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,2,10,0.31771,-0.00534,0.00739,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,2,20,0.3072,-0.00523,0.00226,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,2,50,0.28798,0.00025,-0.01266,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,2,100,0.29621,0.00222,0.00039,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,2,200,0.27749,0.00287,-0.01068,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,2,300,0.2714,0.0007,0.01489,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,3,1,0.12535,-0.00313,0.0014,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,3,2,0.08274,0.0066,0.00367,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,3,5,0.04649,0.00095,0.00038,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,3,10,0.04208,-4e-05,0.00177,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,3,20,0.02371,0.00474,-0.00182,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,3,50,0.00858,-0.00217,0.00656,0.0154,0,0,0
PG52293_text.txt,16206,0.7596,3,100,0.00653,0.01732,-0.00284,0.0154,0,1,0
PG52293_text.txt,16206,0.7596,3,200,0.00969,-0.00832,0.00946,0.0154,0,0,0
PG52293_text.txt,16206,0.7596,3,300,0.01298,-0.00309,-0.01392,0.0154,0,0,0
PG52293_text.txt,16206,0.7596,4,1,0.19002,0.00938,0.00396,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,4,2,0.10555,-0.00324,-0.00335,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,4,5,0.09058,-0.00087,-0.0239,0.0154,1,0,1
PG52293_text.txt,16206,0.7596,4,10,0.07394,0.00342,0.00219,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,4,20,0.05522,0.00555,-0.01167,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,4,50,0.03614,0.01004,0.00297,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,4,100,0.03859,-0.00857,-0.01231,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,4,200,0.03807,-0.0067,-0.01066,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,4,300,0.01286,0.00516,-0.00467,0.0154,0,0,0
PG52293_text.txt,16206,0.7596,5,1,0.10851,0.00116,0.01298,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,5,2,0.05207,0.00831,-0.01463,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,5,5,0.05048,-0.01819,0.00479,0.0154,1,1,0
PG52293_text.txt,16206,0.7596,5,10,0.04051,-0.00607,-0.00926,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,5,20,0.01875,0.00471,-0.00742,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,5,50,0.0241,-0.00153,-0.00531,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,5,100,0.02065,0.00153,0.01556,0.0154,1,0,1
PG52293_text.txt,16206,0.7596,5,200,0.0281,0.00243,0.01943,0.0154,1,0,1
PG52293_text.txt,16206,0.7596,5,300,0.01439,-0.0083,0.00469,0.0154,0,0,0
PG52293_text.txt,16206,0.7596,6,1,0.1284,-0.00729,-0.0141,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,6,2,0.08536,0.0112,0.00933,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,6,5,0.07605,-0.00433,0.00202,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,6,10,0.05628,-0.01028,-0.00468,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,6,20,0.04933,0.01406,-0.00044,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,6,50,0.01962,0.01351,-0.01032,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,6,100,0.01939,0.01189,0.0046,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,6,200,0.02322,0.0004,-0.00437,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,6,300,0.01546,0.01464,-0.00389,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,7,1,0.07399,-0.00322,-0.0009,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,7,2,0.03744,-0.01024,-0.00871,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,7,5,0.02985,0.00304,-0.00077,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,7,10,0.0436,-0.00255,-0.00198,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,7,20,0.01447,0.00713,-0.01474,0.0154,0,0,0
PG52293_text.txt,16206,0.7596,7,50,0.02261,0.00614,0.00013,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,7,100,0.0177,-0.00211,0.01325,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,7,200,0.01325,-0.00059,0.00315,0.0154,0,0,0
PG52293_text.txt,16206,0.7596,7,300,-0.00957,0.01266,0.00827,0.0154,0,0,0
PG52293_text.txt,16206,0.7596,8,1,0.07929,0.00418,0.01191,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,8,2,0.0428,0.01133,0.00516,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,8,5,0.04579,-0.0008,-0.00923,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,8,10,0.02468,-0.00205,0.00544,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,8,20,0.01647,0.00288,0.01045,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,8,50,0.00431,0.00129,-0.00272,0.0154,0,0,0
PG52293_text.txt,16206,0.7596,8,100,0.0015,0.00364,-0.00011,0.0154,0,0,0
PG52293_text.txt,16206,0.7596,8,200,0.00971,-0.00063,-0.00967,0.0154,0,0,0
PG52293_text.txt,16206,0.7596,8,300,-0.00229,-0.00217,-0.00315,0.0154,0,0,0
PG52293_text.txt,16206,0.7596,9,1,0.085,0.0049,-0.01009,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,9,2,0.06017,0.01792,0.01065,0.0154,1,1,0
PG52293_text.txt,16206,0.7596,9,5,0.06712,0.00189,-0.00284,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,9,10,0.03543,0.00521,0.00623,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,9,20,0.02077,-0.00126,-0.01091,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,9,50,0.02378,-0.00463,0.01003,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,9,100,0.01765,-0.00309,0.00272,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,9,200,0.01425,-0.00259,-0.00344,0.0154,0,0,0
PG52293_text.txt,16206,0.7596,9,300,0.00692,-0.01052,0.00658,0.0154,0,0,0
PG52293_text.txt,16206,0.7596,10,1,0.09996,-0.00351,0.00112,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,10,2,0.05388,0.00316,0.01307,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,10,5,0.04875,-0.01434,-0.00267,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,10,10,0.03098,0.00185,-0.00246,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,10,20,0.03493,0.00255,0.00878,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,10,50,0.02257,-0.00243,-0.00317,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,10,100,0.02063,0.00551,-0.00025,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,10,200,0.00426,-0.00238,-0.00081,0.0154,0,0,0
PG52293_text.txt,16206,0.7596,10,300,0.01857,-0.00182,-0.01013,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,11,1,0.08271,0.00372,0.00076,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,11,2,0.04181,-0.00726,0.00803,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,11,5,0.04062,0.00594,0.00094,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,11,10,0.01816,0.00075,-0.00994,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,11,20,0.01349,-0.00981,-0.00884,0.0154,0,0,0
PG52293_text.txt,16206,0.7596,11,50,0.01469,-0.00424,0.00828,0.0154,0,0,0
PG52293_text.txt,16206,0.7596,11,100,0.01999,0.00108,-0.0047,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,11,200,-0.00416,-0.00084,-0.00734,0.0154,0,0,0
PG52293_text.txt,16206,0.7596,11,300,0.00348,0.00797,-0.01902,0.0154,0,0,1
PG52293_text.txt,16206,0.7596,12,1,0.05346,0.00852,-0.00237,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,12,2,0.04094,0.00053,0.00552,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,12,5,0.04326,0.00392,0.0087,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,12,10,0.02352,0.00362,-0.00174,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,12,20,0.02483,-0.00634,-0.01307,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,12,50,0.00201,0.0041,0.00625,0.0154,0,0,0
PG52293_text.txt,16206,0.7596,12,100,0.00759,-0.00846,0.00076,0.0154,0,0,0
PG52293_text.txt,16206,0.7596,12,200,0.02702,0.00386,0.00501,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,12,300,0.00302,-0.00073,-0.0044,0.0154,0,0,0
PG52293_text.txt,16206,0.7596,13,1,0.08015,0.02321,-0.01042,0.0154,1,1,0
PG52293_text.txt,16206,0.7596,13,2,0.05207,-0.00207,0.01175,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,13,5,0.02543,0.0135,-0.00177,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,13,10,0.04695,-0.00416,0.00807,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,13,20,0.02203,-0.00209,-0.00221,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,13,50,0.02087,-0.01474,-0.01098,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,13,100,0.02607,0.00633,-0.00522,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,13,200,0.01734,-0.00266,0.00354,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,13,300,0.00202,-0.01071,0.00397,0.0154,0,0,0
PG52293_text.txt,16206,0.7596,14,1,0.0879,-0.007,0.00197,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,14,2,0.05026,-0.00345,-0.00081,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,14,5,0.0524,0.00735,-0.00979,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,14,10,0.0456,-0.00379,0.01041,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,14,20,0.04362,0.00586,0.01467,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,14,50,0.03183,0.01218,-0.01479,0.0154,1,0,0
PG52293_text.txt,16206,0.7596,14,100,0.02604,0.00381,-0.00076,0.0154,1,0,0
