file,k,M_filtered,alpha_text,alpha0_text,dfa_orig,dfa_fgn,dfa_surr_mean,dfa_surr_std
PG52293_text.txt,1,16206,0.7596,0.735,0.7792,0.5112,0.498,0.0127
PG52293_text.txt,2,16206,0.7596,0.735,0.8384,0.5316,0.4982,0.0171
PG52293_text.txt,3,16206,0.7596,0.735,0.6555,0.4691,0.4927,0.015
PG52293_text.txt,4,16206,0.7596,0.735,0.7284,0.5122,0.4993,0.0185
PG52293_text.txt,5,16206,0.7596,0.735,0.6782,0.4926,0.4957,0.0141
PG52293_text.txt,6,16206,0.7596,0.735,0.6723,0.4768,0.494,0.0217
PG52293_text.txt,7,16206,0.7596,0.735,0.6919,0.4895,0.4933,0.0143
PG52293_text.txt,8,16206,0.7596,0.735,0.661,0.5051,0.4872,0.0139
PG52293_text.txt,9,16206,0.7596,0.735,0.7143,0.5274,0.5067,0.0113
PG52293_text.txt,10,16206,0.7596,0.735,0.714,0.4852,0.5008,0.0142
PG52293_text.txt,11,16206,0.7596,0.735,0.6442,0.4963,0.4996,0.0218
PG52293_text.txt,12,16206,0.7596,0.735,0.6747,0.5372,0.4988,0.0205
PG52293_text.txt,13,16206,0.7596,0.735,0.6839,0.5018,0.5005,0.0202
PG52293_text.txt,14,16206,0.7596,0.735,0.7157,0.488,0.4907,0.0197
PG52293_text.txt,15,16206,0.7596,0.735,0.701,0.4836,0.5005,0.0251
PG52293_text.txt,16,16206,0.7596,0.735,0.6573,0.4645,0.4962,0.0169
PG52293_text.txt,17,16206,0.7596,0.735,0.6648,0.5092,0.4962,0.0181
PG52293_text.txt,18,16206,0.7596,0.735,0.5871,0.4897,0.5108,0.0232
PG52293_text.txt,19,16206,0.7596,0.735,0.629,0.4889,0.4971,0.0158
PG52293_text.txt,20,16206,0.7596,0.735,0.6657,0.4549,0.4991,0.0139
