file,N_all,N_filt,M_filtered,alpha,alpha0,q,k,B_orig,B_surr_mean,B_surr_std,B_fgn,orig_surr,orig_fgn
PG58881_text.txt,51593,15461,15418,0.8452,0.8738,0.6,1,0.9427,0.7776,0.0101,0.776,1.2123,1.2148
PG58881_text.txt,51593,15461,15418,0.8452,0.8738,0.6,2,1.0035,0.7765,0.0103,0.7928,1.2923,1.2658
PG58881_text.txt,51593,15461,15418,0.8452,0.8738,0.6,3,0.8752,0.7722,0.0064,0.784,1.1334,1.1164
PG58881_text.txt,51593,15461,15418,0.8452,0.8738,0.6,4,0.8415,0.7735,0.0047,0.7814,1.0879,1.077
PG58881_text.txt,51593,15461,15418,0.8452,0.8738,0.6,5,0.9359,0.7771,0.0071,0.7585,1.2044,1.2339
PG58881_text.txt,51593,15461,15418,0.8452,0.8738,0.6,6,0.9129,0.7765,0.0092,0.7691,1.1757,1.1869
PG58881_text.txt,51593,15461,15418,0.8452,0.8738,0.6,7,0.842,0.775,0.0103,0.7756,1.0865,1.0856
PG58881_text.txt,51593,15461,15418,0.8452,0.8738,0.6,8,0.9024,0.777,0.0086,0.7722,1.1614,1.1687
PG58881_text.txt,51593,15461,15418,0.8452,0.8738,0.6,9,0.8432,0.7752,0.0111,0.7809,1.0877,1.0797
PG58881_text.txt,51593,15461,15418,0.8452,0.8738,0.6,10,0.8418,0.7742,0.0083,0.7702,1.0874,1.0929
PG58881_text.txt,51593,15461,15418,0.8452,0.8738,0.6,11,0.8659,0.7719,0.0093,0.7691,1.1218,1.1258
PG58881_text.txt,51593,15461,15418,0.8452,0.8738,0.6,12,0.8779,0.7727,0.0114,0.7843,1.1361,1.1193
PG58881_text.txt,51593,15461,15418,0.8452,0.8738,0.6,13,0.8309,0.7734,0.0112,0.7693,1.0744,1.0801
PG58881_text.txt,51593,15461,15418,0.8452,0.8738,0.6,14,0.8821,0.7736,0.0082,0.7631,1.1402,1.156
PG58881_text.txt,51593,15461,15418,0.8452,0.8738,0.6,15,0.8409,0.7743,0.0091,0.781,1.086,1.0767
PG58881_text.txt,51593,15461,15418,0.8452,0.8738,0.6,16,0.8207,0.7707,0.0096,0.788,1.065,1.0415
PG58881_text.txt,51593,15461,15418,0.8452,0.8738,0.6,17,0.7723,0.7697,0.0092,0.805,1.0034,0.9594
PG58881_text.txt,51593,15461,15418,0.8452,0.8738,0.6,18,0.8423,0.7756,0.0072,0.766,1.086,1.0996
PG58881_text.txt,51593,15461,15418,0.8452,0.8738,0.6,19,0.829,0.7768,0.0124,0.7586,1.0672,1.0928
PG58881_text.txt,51593,15461,15418,0.8452,0.8738,0.6,20,0.8203,0.7724,0.0084,0.7769,1.0621,1.0559
PG58881_text.txt,51593,15461,15418,0.8452,0.8738,0.7,1,1.0377,0.8389,0.0139,0.828,1.237,1.2533
PG58881_text.txt,51593,15461,15418,0.8452,0.8738,0.7,2,1.089,0.8354,0.0122,0.8408,1.3037,1.2952
PG58881_text.txt,51593,15461,15418,0.8452,0.8738,0.7,3,0.9818,0.8331,0.0085,0.8396,1.1784,1.1693
PG58881_text.txt,51593,15461,15418,0.8452,0.8738,0.7,4,0.9179,0.8323,0.0087,0.8478,1.1029,1.0827
PG58881_text.txt,51593,15461,15418,0.8452,0.8738,0.7,5,1.0627,0.8356,0.0115,0.8197,1.2717,1.2964
PG58881_text.txt,51593,15461,15418,0.8452,0.8738,0.7,6,0.9953,0.836,0.0145,0.8177,1.1905,1.2172
PG58881_text.txt,51593,15461,15418,0.8452,0.8738,0.7,7,0.9106,0.8329,0.0098,0.8469,1.0934,1.0753
PG58881_text.txt,51593,15461,15418,0.8452,0.8738,0.7,8,0.9837,0.8413,0.0146,0.8395,1.1692,1.1718
PG58881_text.txt,51593,15461,15418,0.8452,0.8738,0.7,9,0.9195,0.8378,0.0134,0.8461,1.0975,1.0868
PG58881_text.txt,51593,15461,15418,0.8452,0.8738,0.7,10,0.9331,0.8383,0.0088,0.8333,1.1131,1.1198
PG58881_text.txt,51593,15461,15418,0.8452,0.8738,0.7,11,0.981,0.8339,0.0155,0.8365,1.1764,1.1728
PG58881_text.txt,51593,15461,15418,0.8452,0.8738,0.7,12,0.9214,0.8364,0.0137,0.8301,1.1016,1.11
PG58881_text.txt,51593,15461,15418,0.8452,0.8738,0.7,13,0.9083,0.8339,0.0125,0.8439,1.0893,1.0764
PG58881_text.txt,51593,15461,15418,0.8452,0.8738,0.7,14,0.948,0.8325,0.0109,0.82,1.1388,1.1561
PG58881_text.txt,51593,15461,15418,0.8452,0.8738,0.7,15,0.9118,0.8394,0.0094,0.8634,1.0862,1.056
PG58881_text.txt,51593,15461,15418,0.8452,0.8738,0.7,16,0.9168,0.8325,0.0118,0.8379,1.1013,1.0943
PG58881_text.txt,51593,15461,15418,0.8452,0.8738,0.7,17,0.8676,0.8309,0.0111,0.8714,1.0442,0.9957
